"Name","Description","Fulladdress","Street","Municipality","Categories","About","Plus.Code","Time.Zone","Price","Note","Amenities","Hotel.Class","Phone","Phones","Claimed","Owner","Owner.Id","Owner.Link","Email","Social.Medias","Review.Count","Average.Rating","Review.URL","Google.Maps.URL","Google.Knowledge.URL","Latitude","Longitude","Website","Domain","Opening.Hours","Featured.Image","Cid","Fid","Place.Id","Kgmid","Type","Cuisine"
"Embassy Cafe","","547 Spencer St, West Melbourne VIC 3003","547 Spencer St","West Melbourne VIC 3003","Restaurant, Breakfast restaurant, Coffee shop, Cafe","Service options: [Outdoor seating, Delivery, Takeaway, Dine-in], Highlights: [Fast service], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating], Offerings: [Coffee, Late-night food, Quick bite, Small plates], Dining options: [Breakfast, Brunch, Lunch, Dinner, Dessert, Seating], Amenities: [Toilets], Atmosphere: [Casual], Crowd: [Good for groups], Planning: [Doesn't accept reservations], Payments: [Cash only], Parking: [Free of charge street parking, ]","4RJ65WRX+P4","Australia/Melbourne","$1–20",NA,NA,NA,"(03) 9328 1830","(03) 9328 1830, +61 3 9328 1830","YES","Embassy Cafe (owner)",1.13028091965733e+20,"https://www.google.com/maps/contrib/113028091965733161134","","",668,4.4,"https://search.google.com/local/reviews?placeid=ChIJn1NjgUdd1moRRFLouFtvoI8&q=breakfast&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=10349394383432340036","https://www.google.com/search?kgmid=/g/1tftr6x9",-37.8081322,144.9478149,"https://m.facebook.com/EmbassyCafe547/","m.facebook.com","Thursday: [Open 24 hours], Friday: [Open 24 hours], Saturday: [Open 24 hours], Sunday: [Open 24 hours], Monday: [Open 24 hours], Tuesday: [Open 24 hours], Wednesday: [Open 24 hours]","https://lh5.googleusercontent.com/p/AF1QipOXMnEtyzFJNiIBsKJjRAet-2zvtqDNzYeaFhJ9=w163-h92-k-no",10349394383432339456,"0x6ad65d478163539f:0x8fa06f5bb8e85244","ChIJn1NjgUdd1moRRFLouFtvoI8","/g/1tftr6x9","Breakfast","Other"
"Home Kitchen & Bar","Chic, contemporary hotel restaurant focusing on sustainable meats & seafood & local produce.","1/222 Russell St, Melbourne VIC 3000","1/222 Russell St","Melbourne VIC 3000","Restaurant, Bar, Cafe, Cocktail bar, Coffee store, Modern Australian restaurant","Service options: [On-site services, Dine-in, No delivery], Highlights: [Great cocktails], Accessibility: [Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet], Offerings: [Alcohol, Beer, Cocktails, Coffee, Small plates, Spirits, Vegetarian options, Wine], Dining options: [Breakfast, Brunch, Lunch, Dinner, Dessert, Seating], Amenities: [Bar on site, Gender-neutral toilets, Toilets], Atmosphere: [Casual], Crowd: [Good for groups], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ], Children: [High chairs, Kids' menu]","4RJ65XQ9+F3","Australia/Melbourne","$20–40",NA,NA,NA,"(03) 9915 2528","(03) 9915 2528, +61 3 9915 2528","YES","Home Kitchen & Bar (owner)",1.06260524648685e+20,"https://www.google.com/maps/contrib/106260524648684512939","","",19,4.4,"https://search.google.com/local/reviews?placeid=ChIJXccYcclC1moROxxL7J7MOk0&q=breakfast&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=5564985272510913595","https://www.google.com/search?kgmid=/g/1hc1fk9f8",-37.811345,144.967746,"http://www.mantra.com.au/victoria/melbourne-and-surrounds/melbourne/accommodation/hotels/mantra-on-russell/dining/","mantra.com.au","Thursday: [7-10 am], Friday: [7-10 am], Saturday: [7-11 am], Sunday: [7-11 am], Monday: [7-10 am], Tuesday: [7-10 am], Wednesday: [7-10 am]","https://lh5.googleusercontent.com/p/AF1QipOMHFILwfRBoOZCOja-GDOh32iK_8f2wM623gaQ=w137-h92-k-no",5564985272510913536,"0x6ad642c97118c75d:0x4d3acc9eec4b1c3b","ChIJXccYcclC1moROxxL7J7MOk0","/g/1hc1fk9f8","Breakfast","Australian"
"Mumtaaz indian restaurant","","492 Whitehorse Rd, Surrey Hills VIC 3127","492 Whitehorse Rd","Surrey Hills VIC 3127","Indian restaurant","From the business: [Identifies as women-owned], Service options: [Kerbside pickup, No-contact delivery, Delivery, Takeaway, Dine-in], Offerings: [Alcohol], Dining options: [Brunch, Lunch, Dinner, Catering, Counter service, Dessert, Seating], Amenities: [Bar on site, Gender-neutral toilets, Toilets, Wi-Fi, ], Crowd: [Family friendly], Planning: [Accepts reservations], Children: [Kids' menu], Parking: [Free of charge street parking, Free parking lot, ]","4RJ753PX+22","Australia/Melbourne","",NA,NA,NA,"(03) 9830 0655","(03) 9830 0655, +61 3 9830 0655","YES","Mumtaaz indian restaurant (owner)",1.12379823698507e+20,"https://www.google.com/maps/contrib/112379823698507007288","","",38,4.9,"https://search.google.com/local/reviews?placeid=ChIJwYJYq9ZB1moRoQS1o_90Sdg&q=Restaurants&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=15585116626804343969","https://www.google.com/search?kgmid=/g/11ln4gqrmp",-37.8149934,145.0975473,"https://www.mumtaazbistro.com.au/","mumtaazbistro.com.au","Saturday: [12-10 pm], Sunday: [12-10 pm], Monday: [5-10 pm], Tuesday: [Closed], Wednesday: [5-10 pm], Thursday: [5-10 pm], Friday: [12-10 pm]","https://lh5.googleusercontent.com/p/AF1QipP8dXwpcFjqyKjaf4O_mf6HFY7V-XMoDmgw4Ml_=w122-h92-k-no",15585116626804344832,"0x6ad641d6ab5882c1:0xd84974ffa3b504a1","ChIJwYJYq9ZB1moRoQS1o_90Sdg","/g/11ln4gqrmp","Restaurant","Indian/Pakistani"
"The Stolen Gem Rooftop Bar","","8/388 Bourke St, Melbourne VIC 3000","8/388 Bourke St","Melbourne VIC 3000","Bar, Event venue, Restaurant","Service options: [Outdoor seating, Dine-in, No delivery, No takeaway], Highlights: [Great cocktails, Live music, Live performances, Rooftop seating], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Offerings: [Alcohol, Beer, Cocktails, Food, Food at bar, Spirits, Wine], Dining options: [Seating], Amenities: [Toilets], Atmosphere: [Casual, Upmarket], Crowd: [Good for groups, LGBTQ+ friendly, Transgender safe space], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ]","4RJ65XP6+6R","Australia/Melbourne","$20–40",NA,NA,NA,"0478 220 506","0478 220 506, +61 478 220 506","YES","The Stolen Gem Rooftop Bar (owner)",1.0321009885269e+20,"https://www.google.com/maps/contrib/103210098852690428321","",NA,242,4.2,"https://search.google.com/local/reviews?placeid=ChIJU9snJLVC1moRT946l1nLJF8&q=rooftop+bar&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=6855828118414483023","https://www.google.com/search?kgmid=/g/11f5bxn0f0",-37.8143979,144.9621085,"https://www.thestolengem.com/","thestolengem.com","Thursday: [4-10 pm], Friday: [4 pm-12 am], Saturday: [2 pm-12 am], Sunday: [1-7 pm], Monday: [Closed], Tuesday: [Closed], Wednesday: [4-10 pm]","https://lh5.googleusercontent.com/p/AF1QipOIxUCXHLy0A8rkIf2wW_03z5L3mZIuzcFkdjBe=w138-h92-k-no",6855828118414483456,"0x6ad642b52427db53:0x5f24cb59973ade4f","ChIJU9snJLVC1moRT946l1nLJF8","/g/11f5bxn0f0","Rooftop Bar","Other"
"Everyday Midtown","","213 Little Collins St, Melbourne VIC 3000","213 Little Collins St","Melbourne VIC 3000","Coffee shop, Cafe","Service options: [Takeaway, Dine-in, No delivery], Accessibility: [Wheelchair-accessible entrance, Wheelchair-accessible toilet, No wheelchair-accessible car park], Offerings: [Coffee], Amenities: [Toilets], Atmosphere: [Casual, Cosy], Planning: [Doesn't accept reservations], Payments: [Credit cards, Mobile payments]","4RJ65XP8+7R","Australia/Melbourne","$1–20",NA,NA,NA,"","","YES","Everyday Midtown (owner)",1.07566815914025e+20,"https://www.google.com/maps/contrib/107566815914025088970","","",201,4.4,"https://search.google.com/local/reviews?placeid=ChIJtyI6BLZC1moRu6xxPLA5wzc&q=coffee+shop&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=4018118721635724475","https://www.google.com/search?kgmid=/g/11c54vgbzw",-37.8143405,144.9670967,"http://everyday-coffee.com/","everyday-coffee.com","Tuesday: [7 am-3 pm], Wednesday: [7 am-3 pm], Thursday: [7 am-3 pm], Friday: [7 am-3 pm], Saturday: [8 am-2 pm], Sunday: [9 am-2 pm], Monday: [7 am-3 pm]","https://lh5.googleusercontent.com/p/AF1QipPAGYBqVo7Lmwre64r_Kr1dbOJ3M7eaGj0k3gJ7=w92-h92-k-no",4018118721635724288,"0x6ad642b6043a22b7:0x37c339b03c71acbb","ChIJtyI6BLZC1moRu6xxPLA5wzc","/g/11c54vgbzw","Coffee Shop","Other"
"Afghan Gallery Restaurant","Afghani dishes like kebabs and curries, in a cosy space with hanging textiles and warm lighting.","327 Brunswick St, Fitzroy VIC 3065","327 Brunswick St","Fitzroy VIC 3065","Afghan restaurant, Mediterranean restaurant, Persian restaurant, Turkish restaurant","From the business: [Identifies as women-owned], Service options: [Kerbside pickup, No-contact delivery, Delivery, Takeaway, Dine-in], Accessibility: [Wheelchair-accessible entrance, Wheelchair-accessible seating], Offerings: [Alcohol, Beer, Cocktails, Coffee, Halal food, Healthy options, Late-night food, Organic dishes, Small plates, Spirits, Vegan options, Vegetarian options, Wine], Dining options: [Lunch, Dinner, Catering, Counter service, Dessert, Seating], Amenities: [Bar on site, Toilets], Atmosphere: [Casual, Cosy], Crowd: [Family friendly, Good for groups, LGBTQ+ friendly, Transgender safe space], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, ], Children: [Good for kids], Parking: [Paid street parking]","4RJ66X3H+39","Australia/Melbourne","$40–80",NA,NA,NA,"(03) 9417 2430","(03) 9417 2430, +61 3 9417 2430","YES","Afghan Gallery Restaurant (owner)",1.11673247160391e+20,"https://www.google.com/maps/contrib/111673247160390926030","","facebook: https://www.facebook.com/pg
",746,4.3,"https://search.google.com/local/reviews?placeid=ChIJVy74zyBD1moRtZEGZUEZMkc&q=Restaurants&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=5130190694186914229","https://www.google.com/search?kgmid=/g/1tdl1pzy",-37.7973555,144.9783908,"http://afghangallery.com.au/","afghangallery.com.au","Saturday: [6-10 pm], Sunday: [6-10 pm], Monday: [6-10 pm], Tuesday: [6-10 pm], Wednesday: [6-10 pm], Thursday: [6-10 pm], Friday: [6-10 pm]","https://lh5.googleusercontent.com/p/AF1QipMLV8p3j3m2FU_C7AXBq8DJCXLDo1LkFg--FeVJ=w138-h92-k-no",5130190694186913792,"0x6ad64320cff82e57:0x47321941650691b5","ChIJVy74zyBD1moRtZEGZUEZMkc","/g/1tdl1pzy","Restaurant","Mediterranean"
"Square One Coffee Roasters","","Ground Floor/525 Collins St, Melbourne VIC 3000","Ground Floor/525 Collins St","Melbourne VIC 3000","Cafe","Service options: [Outdoor seating, Takeaway, Dine-in, No delivery], Accessibility: [Wheelchair-accessible entrance], Offerings: [Alcohol, Beer, Cocktails, Coffee, Happy-hour drinks, Organic dishes, Prepared foods, Small plates, Spirits, Vegan options, Vegetarian options, Wine], Dining options: [Lunch, Dessert, Seating], Amenities: [Toilets, Wi-Fi, ], Atmosphere: [Casual], Crowd: [Family friendly, LGBTQ+ friendly, Transgender safe space], Payments: [Credit cards, Debit cards, ], Children: [Good for kids, High chairs, Kids' menu], Parking: [Paid multi-storey car park, Paid parking lot, Paid street parking], Pets: [Dogs allowed, Dogs allowed outside]","4RJ65XJ4+HR","Australia/Melbourne","$1–20",NA,NA,NA,"(03) 9046 2450","(03) 9046 2450, +61 3 9046 2450","YES","Square One Coffee Roasters (owner)",1.01475916282759e+20,"https://www.google.com/maps/contrib/101475916282758841333","","",14,3.1,"https://search.google.com/local/reviews?placeid=ChIJLVMs95FC1moRM-nyaQ2Jo6U&q=coffee+shop&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=11935534128167053619","https://www.google.com/search?kgmid=/g/11cn0vmg3m",-37.8185215,144.9570626,"http://www.squareonecoffee.com.au/","squareonecoffee.com.au","Tuesday: [7:30 am-4 pm], Wednesday: [7:30 am-4 pm], Thursday: [7:30 am-4 pm], Friday: [7:30 am-4 pm], Saturday: [8 am-4 pm], Sunday: [Closed], Monday: [7:30 am-4 pm]","https://lh5.googleusercontent.com/p/AF1QipO_VvJ_4PE78LxDC5wScC3-36Dp8yVRuE_wlpdp=w137-h92-k-no",11935534128167053312,"0x6ad64291f72c532d:0xa5a3890d69f2e933","ChIJLVMs95FC1moRM-nyaQ2Jo6U","/g/11cn0vmg3m","Coffee Shop","Other"
"First Love Coffee Collins St","","Tenancy 4/433 Collins St, Melbourne VIC 3000","Tenancy 4/433 Collins St","Melbourne VIC 3000","Coffee shop","Service options: [Outdoor seating, Delivery, Takeaway, Dine-in], Accessibility: [Wheelchair-accessible entrance], Offerings: [Coffee], Dining options: [Lunch, Dessert, Seating], Atmosphere: [Casual, Cosy], Planning: [Doesn't accept reservations], Payments: [Credit cards], Parking: [Paid street parking]","4RJ65XJ5+WV","Australia/Melbourne","$1–20",NA,NA,NA,"0481 199 349","0481 199 349, +61 481 199 349","YES","First Love Coffee Collins St (owner)",1.05839294636773e+20,"https://www.google.com/maps/contrib/105839294636772932058","","",110,4.4,"https://search.google.com/local/reviews?placeid=ChIJu8iveCtd1moRf1RMo6LfaZA&q=coffee+shop&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=10406094303633626239","https://www.google.com/search?kgmid=/g/11mhtvm924",-37.8176949,144.9597455,"https://firstlovecoffee.com.au/","firstlovecoffee.com.au","Tuesday: [7 am-4 pm], Wednesday: [7 am-4 pm], Thursday: [7 am-4 pm], Friday: [7 am-4 pm], Saturday: [Closed], Sunday: [Closed], Monday: [7 am-4 pm]","https://lh5.googleusercontent.com/p/AF1QipN8ufo3QwopSsaFwMkqpYistKlxgPO2ZMYP0zK7=w138-h92-k-no",10406094303633627136,"0x6ad65d2b78afc8bb:0x9069dfa2a34c547f","ChIJu8iveCtd1moRf1RMo6LfaZA","/g/11mhtvm924","Coffee Shop","Other"
"Hk cafr","","168 Russell St, Melbourne VIC 3000","Victoria, Melbourne","Russell St","Coffee shop","Service options: [Dine-in], Offerings: [Coffee], Atmosphere: [Casual], Payments: [Credit cards]","4RJ65XQ9+47","Australia/Melbourne","",NA,NA,NA,"","","NO","Hk cafr (owner)",NA,"","","",NA,NA,"","https://www.google.com/maps?cid=16843748970213501423","https://www.google.com/search?kgmid=/g/11vxvn90hy",-37.8121946,144.9681762,"","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EEOBkakzVnbXNw6X2V3IUw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=266.45358&pitch=0&thumbfov=100",16843748970213500928,"0x6ad643003e06c751:0xe9c10472476d69ef","ChIJUccGPgBD1moR72ltR3IEwek","/g/11vxvn90hy","Coffee Shop","Other"
"+39 Pizzeria CBD","Trendy, bare-bones Italian eatery dishing up thin-crust pizza, pasta, handmade focaccia and wine.","362 Little Bourke St, Melbourne VIC 3000","362 Little Bourke St","Melbourne VIC 3000","Pizza restaurant, Italian restaurant, Take Away Restaurant, Pasta shop, Pizza delivery, Pizza takeaway","Service options: [Delivery, Takeaway, Dine-in], Accessibility: [Wheelchair-accessible entrance, No wheelchair-accessible car park], Offerings: [Alcohol, Beer, Cocktails, Coffee, Late-night food, Small plates, Spirits, Wine], Dining options: [Lunch, Dinner, Dessert, Seating], Amenities: [Toilets], Atmosphere: [Casual, Cosy], Crowd: [Family friendly, Good for groups], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ], Children: [Good for kids], Parking: [Paid street parking, ]","4RJ65XP6+JP","Australia/Melbourne","$20–40",NA,NA,NA,"(03) 9642 0440","(03) 9642 0440, +61 3 9642 0440","YES","+39 Pizzeria CBD (owner)",1.14706775717959e+20,"https://www.google.com/maps/contrib/114706775717958931983","","instagram: https://www.instagram.com/39pizzeria
facebook: https://www.facebook.com/plus39pizzeria
",3114,4.5,"https://search.google.com/local/reviews?placeid=ChIJczdsN7VC1moR-QK-RzI-pJw&q=Restaurants&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=11287214951770227449","https://www.google.com/search?kgmid=/g/1vd71gdj",-37.8133939,144.9618064,"http://plus39.com.au/","plus39.com.au","Saturday: [12-10 pm], Sunday: [12-9 pm], Monday: [12-3 pm, 5-9:30 pm], Tuesday: [12-3 pm, 5-9:30 pm], Wednesday: [12-3 pm, 5-9:30 pm], Thursday: [12-3 pm, 5-9:30 pm], Friday: [12-3 pm, 5-10 pm]","https://lh5.googleusercontent.com/p/AF1QipNwta-NVjPA2sGZQeuyk0so7ubRBgxmK-FSgFr0=w122-h92-k-no",11287214951770226688,"0x6ad642b5376c3773:0x9ca43e3247be02f9","ChIJczdsN7VC1moR-QK-RzI-pJw","/g/1vd71gdj","Restaurant","Italian"
