"Name","Description","Fulladdress","Street","Municipality","Categories","About","Plus Code","Time Zone","Price","Note","Amenities","Hotel Class","Phone","Phones","Claimed","Owner","Owner Id","Owner Link","Email","Social Medias","Review Count","Average Rating","Review URL","Google Maps URL","Google Knowledge URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Fid","Place Id","Kgmid"
"Melbourne Zoo","Modelled on London Zoo, this family-friendly establishment has animals from all around the world.","Elliott Ave, Parkville VIC 3052","Elliott Ave","Parkville VIC 3052","Zoo, Animal hospital, Learning center, Tourist attraction, Wildlife park, Wildlife rescue service","Service options: [On-site services], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Planning: [Getting tickets in advance recommended], Children: [Good for kids, Good for kids birthday]","4RJ66X82+8J","Australia/Melbourne",,,,,"1300 966 784","1300 966 784, +61 1300 966 784","YES","Melbourne Zoo (owner)","105876162537862663224","https://www.google.com/maps/contrib/105876162537862663224","","",5614,4.4,"https://search.google.com/local/reviews?placeid=ChIJl4pG29Bc1moRisNvMITeH7Y&q=zoo&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=13123452498510594954","https://www.google.com/search?kgmid=/m/03tprv",-37.7841346,144.9515473,"https://www.zoo.org.au/melbourne","zoo.org.au","Thursday: [9 am-5 pm], Friday: [9 am-5 pm], Saturday: [9 am-5 pm], Sunday: [9 am-5 pm], Monday: [9 am-5 pm], Tuesday: [9 am-5 pm], Wednesday: [9 am-5 pm]","https://lh5.googleusercontent.com/p/AF1QipPsUqX2l0hQ1vgBoSaacuAELgB3nNrFFQvrv10m=w163-h92-k-no","13123452498510594954","0x6ad65cd0db468a97:0xb61fde84306fc38a","ChIJl4pG29Bc1moRisNvMITeH7Y","/m/03tprv"
"Zoos Victoria Head Office",,"Elliott Ave, Parkville VIC 3052","Elliott Ave","Parkville VIC 3052","Zoo","Service options: [On-site services], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Planning: [Getting tickets in advance recommended], Children: [Good for kids]","4RJ66X72+48","Australia/Melbourne",,,,,"1300 966 784","1300 966 784, +61 1300 966 784","YES","Zoos Victoria Head Office (owner)","108832623022840002847","https://www.google.com/maps/contrib/108832623022840002847","","",312,4.5,"https://search.google.com/local/reviews?placeid=ChIJLdD1eNdc1moRn5MisB7_Yt4&q=zoo&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=16024650931406803871","https://www.google.com/search?kgmid=/g/11c5znq6gv",-37.787188199999996,144.9507564,"http://www.zoo.org.au/","zoo.org.au","Thursday: [9 am-5 pm], Friday: [9 am-5 pm], Saturday: [9 am-5 pm], Sunday: [9 am-5 pm], Monday: [9 am-5 pm], Tuesday: [9 am-5 pm], Wednesday: [9 am-5 pm]","https://lh5.googleusercontent.com/p/AF1QipMbkmcG8tBC93drwX3E6gpn0Ck7T5DGSrk1O9L8=w163-h92-k-no","16024650931406803871","0x6ad65cd778f5d02d:0xde62ff1eb022939f","ChIJLdD1eNdc1moRn5MisB7_Yt4","/g/11c5znq6gv"
"Melbourne Zoo",,"Melbourne VIC 3004","Melbourne VIC 3004","","Tourist attraction","","4RJ66X82+JH","Australia/Melbourne",,,,,,"","NO","Melbourne Zoo (owner)",,"",,"",3,5,"https://search.google.com/local/reviews?placeid=ChIJ3RoFbwBd1moR7u0AgyJVJq4&q=zoo&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=12548811018429591022","https://www.google.com/search?kgmid=/g/11y5tl0r15",-37.7834735,144.9513944,,,"","https://lh5.googleusercontent.com/p/AF1QipPwzIBZltNKwyz4IJBd1OLtjE2KhIN-6PTTxWfK=w80-h106-k-no","12548811018429591022","0x6ad65d006f051add:0xae2655228300edee","ChIJ3RoFbwBd1moR7u0AgyJVJq4","/g/11y5tl0r15"
"Werribee Open Range Zoo","Family-friendly zoo for viewing African giraffes & zebras on safari tours, plus casual dining.","K Rd, Werribee South VIC 3030","K Rd","Werribee South VIC 3030","Zoo, Tourist attraction, Wildlife and safari park, Wildlife park, Wildlife Sanctuary","Service options: [On-site services], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Planning: [Getting tickets in advance recommended], Children: [Good for kids, Good for kids birthday]","4RJ63MG8+WV","Australia/Melbourne",,,,,"1300 966 784","1300 966 784, +61 1300 966 784","YES","Werribee Open Range Zoo (owner)","107738946496876827647","https://www.google.com/maps/contrib/107738946496876827647","","",13593,4.5,"https://search.google.com/local/reviews?placeid=ChIJmYRv-k6E1moRpCXN24aB_gs&q=zoo&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=864270594714969508","https://www.google.com/search?kgmid=/m/04vthk",-37.922686299999995,144.6672338,"http://www.zoo.org.au/werribee","zoo.org.au","Thursday: [9 am-5 pm], Friday: [9 am-5 pm], Saturday: [9 am-5 pm], Sunday: [9 am-5 pm], Monday: [9 am-5 pm], Tuesday: [9 am-5 pm], Wednesday: [9 am-5 pm]","https://lh5.googleusercontent.com/p/AF1QipPtb5HkC3Wp7jPq2o5hCvXGeJn7rixe8prAOOK-=w120-h92-k-no","864270594714969508","0x6ad6844efa6f8499:0xbfe8186dbcd25a4","ChIJmYRv-k6E1moRpCXN24aB_gs","/m/04vthk"
"Lemur Island",,"Lemur Island, Elliott Ave, Parkville VIC 3052","Elliott Ave","Parkville VIC 3052","Zoo","Service options: [On-site services], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Children: [Good for kids]","4RJ66X73+W2","Australia/Melbourne",,,,,,"","NO","Lemur Island (owner)",,"","","",15,4.7,"https://search.google.com/local/reviews?placeid=ChIJZ4Yv0dBc1moRmnV6wBbU0bc&q=zoo&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=13245601173256959386","https://www.google.com/search?kgmid=/g/11fy2zgn50",-37.785230399999996,144.9525378,"http://www.zoo.org.au/melbourne","zoo.org.au","Thursday: [9 am-5 pm], Friday: [9 am-5 pm], Saturday: [9 am-5 pm], Sunday: [9 am-5 pm], Monday: [9 am-5 pm], Tuesday: [9 am-5 pm], Wednesday: [9 am-5 pm]","https://lh5.googleusercontent.com/p/AF1QipOKZ4RKEVllwmh0Bi1UgzOCX9qaihcW1vPCF3xP=w80-h106-k-no","13245601173256959386","0x6ad65cd0d12f8667:0xb7d1d416c07a759a","ChIJZ4Yv0dBc1moRmnV6wBbU0bc","/g/11fy2zgn50"
"Melbourne Zoo/Poplar Rd",,"Parkville VIC 3052","Parkville VIC 3052","","Bus stop","Getting here: [24-hour public transport available]","4RJ66X83+MW","Australia/Melbourne",,,,,,"","YES","Melbourne Zoo/Poplar Rd (owner)",,"",,"",26,4.4,"https://search.google.com/local/reviews?placeid=ChIJVckEkdFc1moRkbXPn70ontY&q=zoo&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=15464842965331981713","https://www.google.com/search?kgmid=/g/11cm6drp3k",-37.7833086,144.95477499999998,,,"","https://lh5.googleusercontent.com/p/AF1QipOV5XOBxf2ORow0ioIBgokUkG558EowXMBrB5eK=w189-h92-k-no","15464842965331981713","0x6ad65cd19104c955:0xd69e28bd9fcfb591","ChIJVckEkdFc1moRkbXPn70ontY","/g/11cm6drp3k"
"Reptiles House",,"Elliott Ave, Parkville VIC 3052","Elliott Ave","Parkville VIC 3052","Zoo","Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Children: [Good for kids]","4RJ66X82+P6","Australia/Melbourne",,,,,,"","NO","Reptiles House (owner)",,"",,"",5,4,"https://search.google.com/local/reviews?placeid=ChIJu0sJg6Nd1moRGi4xaksuldY&q=zoo&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=15462315797085498906","https://www.google.com/search?kgmid=/g/11ngysx0ww",-37.7831581,144.9505271,,,"","https://lh5.googleusercontent.com/p/AF1QipPoQ1hovcf9c3SxLGQMWQjmUMmSwAaJz-E81ple=w80-h142-k-no","15462315797085498906","0x6ad65da383094bbb:0xd6952e4b6a312e1a","ChIJu0sJg6Nd1moRGi4xaksuldY","/g/11ngysx0ww"
"Orangutan Island",,"Orang-utan House, Elliott Ave, Parkville VIC 3052","Orang-utan House","Elliott Ave","Zoo","Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Children: [Good for kids]","4RJ66X82+4F","Australia/Melbourne",,,,,,"","NO","Orangutan Island (owner)",,"",,"",4,5,"https://search.google.com/local/reviews?placeid=ChIJh85oFLhd1moRZ_SJc7L9k7A&q=zoo&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=12723792315136210023","https://www.google.com/search?kgmid=/g/11rbnw4m7h",-37.7847276,144.9511315,,,"","https://lh5.googleusercontent.com/p/AF1QipNCC3ROSwJfuJOEBrspkU0o8FBVQvobegIZkZki=w80-h106-k-no","12723792315136210023","0x6ad65db81468ce87:0xb093fdb27389f467","ChIJh85oFLhd1moRZ_SJc7L9k7A","/g/11rbnw4m7h"
"Butterfly House",,"Elliott Ave, Parkville VIC 3052","Elliott Ave","Parkville VIC 3052","Tourist attraction, Exhibit","Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance]","4RJ66X72+J6","Australia/Melbourne",,,,,"1300 966 784","1300 966 784, +61 1300 966 784","NO","Butterfly House (owner)",,"","","",573,4.8,"https://search.google.com/local/reviews?placeid=ChIJ-xSzYNdc1moRrK7AMH8vY8M&q=zoo&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=14079149083415588524","https://www.google.com/search?kgmid=/g/11dybfxqx_",-37.7859227,144.950575,"https://www.zoo.org.au/melbourne/highlights/butterfly-house","zoo.org.au","Thursday: [9 am-4:30 pm], Friday: [9 am-4:30 pm], Saturday: [9 am-4:30 pm], Sunday: [9 am-4:30 pm], Monday: [9 am-4:30 pm], Tuesday: [9 am-4:30 pm], Wednesday: [9 am-4:30 pm]","https://lh5.googleusercontent.com/p/AF1QipM_yNzLbswfe9dbQ_auOrgcFp1cj10AY5F4SUv0=w122-h92-k-no","14079149083415588524","0x6ad65cd760b314fb:0xc3632f7f30c0aeac","ChIJ-xSzYNdc1moRrK7AMH8vY8M","/g/11dybfxqx_"
"Melbourne Zoo/Poplar Rd",,"Parkville VIC 3052","Parkville VIC 3052","","Bus stop","Getting here: [24-hour public transport available]","4RJ66X83+HX","Australia/Melbourne",,,,,,"","YES","Melbourne Zoo/Poplar Rd (owner)",,"",,"",18,4.4,"https://search.google.com/local/reviews?placeid=ChIJE-SvmtFc1moR0E2cVSeQwho&q=zoo&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=1928262089082424784","https://www.google.com/search?kgmid=/g/11cm6drvjc",-37.783573,144.9549494,,,"","https://lh5.googleusercontent.com/p/AF1QipMMNUpqnC8bA3jmPsxzdjwis425_ye08U1WFXM0=w122-h92-k-no","1928262089082424784","0x6ad65cd19aafe413:0x1ac29027559c4dd0","ChIJE-SvmtFc1moR0E2cVSeQwho","/g/11cm6drvjc"
