"Name","Description","Fulladdress","Street","Municipality","Categories","About","Plus Code","Time Zone","Price","Note","Amenities","Hotel Class","Phone","Phones","Claimed","Owner","Owner Id","Owner Link","Email","Social Medias","Review Count","Average Rating","Review URL","Google Maps URL","Google Knowledge URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Fid","Place Id","Kgmid"
"Prudence","Hip bar with quirky decor and a beer garden, offering draft beer and creative cocktails.","368 Victoria St, North Melbourne VIC 3051","368 Victoria St","North Melbourne VIC 3051","Bar","Service options: [Outdoor seating, Delivery, Dine-in, No takeaway], Highlights: [Great cocktails], Accessibility: [No wheelchair-accessible car park, No wheelchair-accessible entrance], Offerings: [Alcohol, Beer, Cocktails, Food, Food at bar, Spirits, Wine], Dining options: [Seating], Amenities: [Toilets], Atmosphere: [Casual, Cosy], Crowd: [Good for groups], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ], Pets: [Dogs allowed]","4RJ65XV3+QJ","Australia/Melbourne","$20–40",,,,"(03) 9329 9267","(03) 9329 9267, +61 3 9329 9267","YES","Prudence (owner)","115813072041456593227","https://www.google.com/maps/contrib/115813072041456593227",,"",483,4.5,"https://search.google.com/local/reviews?placeid=ChIJefwgxjZd1moRfLLDscUr-1Y&q=bar&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=6267651434507121276","https://www.google.com/search?kgmid=/g/1vvyy6lz",-37.80553,144.9540668,,,"Thursday: [5 pm-1 am], Friday: [4:30 pm-1 am], Saturday: [5 pm-1 am], Sunday: [5 pm-1 am], Monday: [5 pm-1 am], Tuesday: [5 pm-1 am], Wednesday: [5 pm-1 am]","https://lh5.googleusercontent.com/p/AF1QipOPKX2M3My_dQxN1MMQVV7zdawnqcn4gp-_FSG6=w163-h92-k-no","6267651434507121276","0x6ad65d36c620fc79:0x56fb2bc5b1c3b27c","ChIJefwgxjZd1moRfLLDscUr-1Y","/g/1vvyy6lz"
"Bonny",,"177 Brunswick St, Fitzroy VIC 3065","177 Brunswick St","Fitzroy VIC 3065","Bar","Service options: [Outdoor seating, Dine-in, No delivery, No takeaway], Highlights: [Great cocktails], Accessibility: [Wheelchair-accessible entrance, No wheelchair-accessible car park], Offerings: [Alcohol, Beer, Cocktails, Food, Food at bar, Happy-hour drinks, Spirits, Wine], Dining options: [Outside food allowed, Seating], Amenities: [Toilets, Wi-Fi, ], Atmosphere: [Casual, Cosy], Crowd: [Good for groups, LGBTQ+ friendly, Transgender safe space], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ], Parking: [Free of charge street parking, Paid street parking]","4RJ65XXH+53","Australia/Melbourne","$40–60",,,,"(03) 7064 5184","(03) 7064 5184, +61 3 7064 5184","YES","Bonny (owner)","106417045103885515954","https://www.google.com/maps/contrib/106417045103885515954","","",269,4.4,"https://search.google.com/local/reviews?placeid=ChIJDfcZy1xD1moRj_lWXqYhh6k&q=bar&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=12215769512696805775","https://www.google.com/search?kgmid=/g/11j2d55b03",-37.802119399999995,144.977668,"http://www.bonnybar.com.au/","bonnybar.com.au","Thursday: [4-11 pm], Friday: [4 pm-1 am], Saturday: [1 pm-1 am], Sunday: [1-11 pm], Monday: [Closed], Tuesday: [Closed], Wednesday: [4-11 pm]","https://lh5.googleusercontent.com/p/AF1QipPNN4EMJuCu-SlL3LpPqPwtRgAwZ1K2GNeBkSag=w122-h92-k-no","12215769512696805775","0x6ad6435ccb19f70d:0xa98721a65e56f98f","ChIJDfcZy1xD1moRj_lWXqYhh6k","/g/11j2d55b03"
"Dikstein's Corner Bar","Neighbourhood bar with a no-frills interior and homey vibe, serving gourmet pizza, mains and snacks.","433 Little Collins St, Melbourne VIC 3000","433 Little Collins St","Melbourne VIC 3000","Bar, Restaurant, Wine bar","Service options: [Outdoor seating, Takeaway, Dine-in, No delivery], Highlights: [Great cocktails], Accessibility: [Wheelchair-accessible entrance], Offerings: [Alcohol, Beer, Cocktails, Food, Food at bar, Happy-hour drinks, Spirits, Wine], Dining options: [Seating], Amenities: [Toilets, Wi-Fi, ], Atmosphere: [Casual, Cosy], Crowd: [Good for groups, LGBTQ+ friendly, Transgender safe space], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ], Parking: [Paid street parking], Pets: [Dogs allowed]","4RJ65XM6+F4","Australia/Melbourne","$20–40",,,,"(03) 9642 0943","(03) 9642 0943, +61 3 9642 0943","YES","Dikstein's Corner Bar (owner)","110141051024167144116","https://www.google.com/maps/contrib/110141051024167144116",,"",431,4.3,"https://search.google.com/local/reviews?placeid=ChIJX06VWEtd1moRV3ggG_chGE4&q=bar&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=5627285079595186263","https://www.google.com/search?kgmid=/g/1hc1dgtsl",-37.816313,144.96033699999998,,,"Thursday: [11 am-11 pm], Friday: [11 am-11 pm], Saturday: [Closed], Sunday: [Closed], Monday: [11 am-10 pm], Tuesday: [11 am-10 pm], Wednesday: [11 am-10 pm]","https://lh5.googleusercontent.com/p/AF1QipPC0lrhxr2xMDkXV1_kpXj7jnjQgbsUNstz4KFh=w122-h92-k-no","5627285079595186263","0x6ad65d4b58954e5f:0x4e1821f71b207857","ChIJX06VWEtd1moRV3ggG_chGE4","/g/1hc1dgtsl"
"Hats & Tatts CBD","A Zoolander quote is lit up in neon above the bar at this lively & relaxed dive-style bar.","1/246 Russell St, Melbourne VIC 3000","1/246 Russell St","Melbourne VIC 3000","Bar","Service options: [Outdoor seating, Dine-in, No delivery, No takeaway], Highlights: [Bar games, Great cocktails], Accessibility: [Wheelchair-accessible toilet], Offerings: [Alcohol, Beer, Cocktails, Dancing, Food, Food at bar, Spirits, Wine], Dining options: [Seating], Amenities: [Gender-neutral toilets, Toilets], Atmosphere: [Casual, Cosy], Crowd: [Good for groups], Planning: [Doesn't accept reservations], Payments: [Credit cards]","4RJ65XQ8+RW","Australia/Melbourne","$20–40",,,,,"","YES","Hats & Tatts CBD (owner)","111466126482180993496","https://www.google.com/maps/contrib/111466126482180993496","support@fb.com","",273,4.8,"https://search.google.com/local/reviews?placeid=ChIJT0BzMP9n1moRHChnexfX_Xo&q=bar&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=8862476137589581852","https://www.google.com/search?kgmid=/g/11bv_dhbxp",-37.8104742,144.96733559999998,"https://www.facebook.com/Hatsandtatts/","facebook.com","Thursday: [4 pm-3 am], Friday: [4 pm-3 am], Saturday: [4 pm-3 am], Sunday: [Closed], Monday: [Closed], Tuesday: [4 pm-3 am], Wednesday: [4 pm-3 am]","https://lh5.googleusercontent.com/p/AF1QipNZIZzBJGBP-mNZwRRQQZ5f4gn8Q6ZDKpqGD-V6=w163-h92-k-no","8862476137589581852","0x6ad667ff3073404f:0x7afdd7177b67281c","ChIJT0BzMP9n1moRHChnexfX_Xo","/g/11bv_dhbxp"
"Bobbie Peels",,"351 Queensberry St, North Melbourne VIC 3051","351 Queensberry St","North Melbourne VIC 3051","Pub, Bar, Beer garden, Function room facility, Restaurant, Wine bar","Service options: [Outdoor seating, Dine-in, No delivery], Highlights: [Bar games], Accessibility: [Wheelchair-accessible toilet], Offerings: [Alcohol, Beer, Cocktails, Food, Food at bar, Happy-hour drinks, Spirits, Wine], Dining options: [Outside food allowed, Seating], Amenities: [Toilets], Atmosphere: [Casual, Cosy], Crowd: [Good for groups, LGBTQ+ friendly, Transgender safe space], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ], Parking: [Free of charge street parking, Paid street parking], Pets: [Dogs allowed]","4RJ65XW4+C9","Australia/Melbourne","$$",,,,"(03) 9329 3353","(03) 9329 3353, +61 3 9329 3353","YES","Bobbie Peels (owner)","117685483792096508742","https://www.google.com/maps/contrib/117685483792096508742","","",408,4.5,"https://search.google.com/local/reviews?placeid=ChIJa8tp2TNd1moR6lZk4pbUmOU&q=bar&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=16544206975653926634","https://www.google.com/search?kgmid=/g/11byck_ny8",-37.8039559,144.9559626,"http://www.bobbiepeels.com.au/","bobbiepeels.com.au","Thursday: [12-11 pm], Friday: [12 pm-12 am], Saturday: [12-11 pm], Sunday: [12-9 pm], Monday: [Closed], Tuesday: [4-11 pm], Wednesday: [4-11 pm]","https://lh5.googleusercontent.com/p/AF1QipPfzgpE44ViWt3-HoZt5CqajMSqljcyIIiLW8-N=w137-h92-k-no","16544206975653926634","0x6ad65d33d969cb6b:0xe598d496e26456ea","ChIJa8tp2TNd1moR6lZk4pbUmOU","/g/11byck_ny8"
"Heartbreaker","Extensive range of international beers & whiskeys in a lively bar with a rock 'n' roll atmosphere.","234A Russell St, Melbourne VIC 3000","234A Russell St","Melbourne VIC 3000","Bar","Service options: [Takeaway, Dine-in, No delivery], Highlights: [Bar games, Great cocktails, Live performances], Accessibility: [No wheelchair-accessible car park, No wheelchair-accessible entrance], Offerings: [Alcohol, Beer, Cocktails, Dancing, Food, Food at bar, Happy-hour drinks, Spirits, Wine], Dining options: [Seating], Amenities: [Toilets], Atmosphere: [Casual, Cosy], Crowd: [Good for groups, LGBTQ+ friendly, Transgender safe space], Planning: [Doesn't accept reservations], Payments: [Credit cards, Mobile payments], Parking: [Paid street parking]","4RJ65XQ9+J2","Australia/Melbourne","$20–40",,,,"(03) 9041 0856","(03) 9041 0856, +61 3 9041 0856","YES","Heartbreaker (owner)","105885786739987542639","https://www.google.com/maps/contrib/105885786739987542639","","facebook: https://www.facebook.com/heartbreakerbar/?locale=tl_PH
yelp: https://www.yelp.com/biz/heartbreaker-melbourne
",1521,4.4,"https://search.google.com/local/reviews?placeid=ChIJf_-ib8lC1moR8y0DMHWLgFA&q=bar&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=5800789655486148083","https://www.google.com/search?kgmid=/g/11bysjp_9f",-37.8109284,144.96750459999998,"https://heartbreakerbar.com.au/","heartbreakerbar.com.au","Thursday: [3 pm-3 am], Friday: [3 pm-3 am], Saturday: [3 pm-3 am], Sunday: [5 pm-1 am], Monday: [5 pm-1 am], Tuesday: [5 pm-1 am], Wednesday: [5 pm-3 am]","https://lh5.googleusercontent.com/p/AF1QipMmpG41YwPJgsCYBgp3hv8G1zYYC737WxsIWccS=w156-h92-k-no","5800789655486148083","0x6ad642c96fa2ff7f:0x50808b7530032df3","ChIJf_-ib8lC1moR8y0DMHWLgFA","/g/11bysjp_9f"
"Workshop Bar","Live music and DJs in a bohemian space popular for art launches, serving craft beer and basic meals.","1/413 Elizabeth St, Melbourne VIC 3000","1/413 Elizabeth St","Melbourne VIC 3000","Bar, Cocktail bar","Service options: [Outdoor seating, Dine-in, No delivery, No takeaway], Highlights: [Great cocktails, Live music, Live performances, Rooftop seating], Accessibility: [No wheelchair-accessible car park, No wheelchair-accessible entrance], Offerings: [Alcohol, Beer, Cocktails, Food, Food at bar, Spirits, Wine], Dining options: [Seating], Amenities: [Toilets, Wi-Fi, ], Atmosphere: [Casual, Cosy], Crowd: [Good for groups, LGBTQ+ friendly, Transgender safe space], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ]","4RJ65XR6+85","Australia/Melbourne","$1–20",,,,"(03) 9326 4365","(03) 9326 4365, +61 3 9326 4365","YES","Workshop Bar (owner)","114389716954704853272","https://www.google.com/maps/contrib/114389716954704853272","","",1068,4.4,"https://search.google.com/local/reviews?placeid=ChIJo8BJ0TRd1moR1wIOKOsrCWU&q=bar&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=7280398561610433239","https://www.google.com/search?kgmid=/g/1tgfws4h",-37.809221699999995,144.9604575,"https://www.workshopbar.com.au/","workshopbar.com.au","Thursday: [4 pm-1 am], Friday: [4 pm-2 am], Saturday: [4 pm-2 am], Sunday: [Closed], Monday: [4 pm-12 am], Tuesday: [4 pm-12 am], Wednesday: [4 pm-1 am]","https://lh5.googleusercontent.com/p/AF1QipNCZUzvFY8UtpW4S0r7uIw0hbd1tHRxMBPeDxpl=w122-h92-k-no","7280398561610433239","0x6ad65d34d149c0a3:0x65092beb280e02d7","ChIJo8BJ0TRd1moR1wIOKOsrCWU","/g/1tgfws4h"
"Chuckle Park Bar","Craft beer & cocktails served from a caravan in a trendy laneway with hanging lights and art.","322 Little Collins St, Melbourne VIC 3000","322 Little Collins St","Melbourne VIC 3000","Bar, Cocktail bar, Wine bar","Service options: [Outdoor seating, Dine-in, No delivery, No takeaway], Highlights: [Great cocktails], Accessibility: [Wheelchair-accessible entrance, No wheelchair-accessible car park], Offerings: [Alcohol, Beer, Cocktails, Happy-hour drinks, Spirits, Wine], Dining options: [Seating], Amenities: [Toilets], Atmosphere: [Casual, Cosy], Crowd: [Good for groups, LGBTQ+ friendly, Transgender safe space], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ], Parking: [Paid street parking], Pets: [Dogs allowed]","4RJ65XP7+2H","Australia/Melbourne","$20–40",,,,,"","YES","Chuckle Park Bar (owner)","104100125391772047838","https://www.google.com/maps/contrib/104100125391772047838","bookings@newguernica.com.au, info@chucklepark.com.au, georgie@newguernica.com.au","",605,4.5,"https://search.google.com/local/reviews?placeid=ChIJ0VRfqrVC1moRHK-_IZz77Hg&q=bar&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=8713616027054747420","https://www.google.com/search?kgmid=/g/1jkz8t6j_",-37.8149254,144.9639858,"http://www.chucklepark.com.au/","chucklepark.com.au","Thursday: [3 pm-12 am], Friday: [3 pm-12 am], Saturday: [3 pm-12 am], Sunday: [Closed], Monday: [Closed], Tuesday: [3-11 pm], Wednesday: [3-11 pm]","https://lh5.googleusercontent.com/p/AF1QipOTznF4ywSTPtV8W4UD9K-T38CGUHxZEKpPaGtx=w92-h92-k-no","8713616027054747420","0x6ad642b5aa5f54d1:0x78ecfb9c21bfaf1c","ChIJ0VRfqrVC1moRHK-_IZz77Hg","/g/1jkz8t6j_"
"Double Happiness","Cosy, trendy bar hidden down a lane with kitsch decor inspired by Chinese Communist propaganda.","21 Liverpool St, Melbourne VIC 3000","21 Liverpool St","Melbourne VIC 3000","Cocktail bar, Bar","Service options: [Dine-in, No delivery, No takeaway], Highlights: [Great cocktails], Accessibility: [No wheelchair-accessible car park, No wheelchair-accessible entrance], Offerings: [Alcohol, Beer, Cocktails, Spirits, Wine], Dining options: [Outside food allowed], Amenities: [Gender-neutral toilets, Toilets], Atmosphere: [Casual, Cosy], Crowd: [Good for groups, LGBTQ+ friendly], Payments: [Credit cards, Debit cards, Mobile payments, ]","4RJ65XQC+GG","Australia/Melbourne","$20–40",,,,"(03) 9650 4488","(03) 9650 4488, +61 3 9650 4488","YES","Double Happiness (owner)","114960175699434324254","https://www.google.com/maps/contrib/114960175699434324254","","",287,4.6,"https://search.google.com/local/reviews?placeid=ChIJ7c3rsMhC1moRpf6dMWUwldE&q=bar&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=15102030136639094437","https://www.google.com/search?kgmid=/g/1vgx0x0y",-37.8111831,144.97127229999998,"http://double-happiness.com.au/","double-happiness.com.au","Thursday: [5 pm-1 am], Friday: [5 pm-3 am], Saturday: [5 pm-3 am], Sunday: [Closed], Monday: [5 pm-12 am], Tuesday: [5 pm-12 am], Wednesday: [5 pm-12 am]","https://lh5.googleusercontent.com/p/AF1QipOL90lA6sL-pWesKkI3ts8j1SpE5xnJJat_EtME=w138-h92-k-no","15102030136639094437","0x6ad642c8b0ebcded:0xd1953065319dfea5","ChIJ7c3rsMhC1moRpf6dMWUwldE","/g/1vgx0x0y"
"The Bottom End","Boisterous gastropub with an upstairs nightclub serving beer, cocktails & burgers.","579 Little Collins St, Melbourne VIC 3000","579 Little Collins St","Melbourne VIC 3000","Bar, Disco club, Pub, Restaurant, Sports bar","Service options: [Outdoor seating, Dine-in, No delivery], Highlights: [Bar games, Great cocktails, Live music, Live performances, Quiz night], Accessibility: [Wheelchair-accessible toilet], Offerings: [Alcohol, Beer, Cocktails, Dancing, Food, Food at bar, Happy-hour drinks, Happy-hour food, Spirits, Wine], Dining options: [Outside food allowed, Seating], Amenities: [Toilets, Wi-Fi, ], Atmosphere: [Casual], Crowd: [Good for groups, LGBTQ+ friendly, Transgender safe space], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ], Parking: [Paid street parking]","4RJ65XJ4+V6","Australia/Melbourne","$20–40",,,,"0423 256 039","0423 256 039, +61 423 256 039","YES","The Bottom End (owner)","114007427961619181204","https://www.google.com/maps/contrib/114007427961619181204","","",865,4.2,"https://search.google.com/local/reviews?placeid=ChIJ_e4rdk5d1moR1wWNSS4jIH4&q=bar&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=9088302729743107543","https://www.google.com/search?kgmid=/g/1tgm2_jp",-37.817796099999995,144.9555902,"http://www.thebottomend.com.au/","thebottomend.com.au","Thursday: [12-10 pm], Friday: [12-11 pm], Saturday: [Closed], Sunday: [Closed], Monday: [Closed], Tuesday: [12-10 pm], Wednesday: [12-10 pm]","https://lh5.googleusercontent.com/p/AF1QipOrG22jvougZdt3sVTX5I8N-pcOZipYGHJCsXxG=w122-h92-k-no","9088302729743107543","0x6ad65d4e762beefd:0x7e20232e498d05d7","ChIJ_e4rdk5d1moR1wWNSS4jIH4","/g/1tgm2_jp"
