"Name","Description","Fulladdress","Street","Municipality","Categories","About","Plus Code","Time Zone","Price","Note","Amenities","Hotel Class","Phone","Phones","Claimed","Owner","Owner Id","Owner Link","Email","Social Medias","Review Count","Average Rating","Review URL","Google Maps URL","Google Knowledge URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Fid","Place Id","Kgmid"
"Loop Roof","Cutting-edge cafe/bar with panoramic views, serving eclectic, modern food and inventive cocktails.","3/23 Meyers Pl, Melbourne VIC 3000","3/23 Meyers Pl","Melbourne VIC 3000","Bar, Cocktail bar, Restaurant, Wine bar","Service options: [Outdoor seating, Delivery, Dine-in], Highlights: [Great cocktails, Rooftop seating], Accessibility: [No wheelchair-accessible car park, No wheelchair-accessible entrance], Offerings: [Alcohol, Beer, Cocktails, Food, Food at bar, Spirits, Wine], Dining options: [Seating], Amenities: [Toilets], Atmosphere: [Casual, Cosy], Crowd: [Good for groups, LGBTQ+ friendly, Transgender safe space], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ]","4RJ65XQC+4V","Australia/Melbourne","$$",,,,"0481 785 190","0481 785 190, +61 481 785 190","YES","Loop Roof (owner)","109884507910426749454","https://www.google.com/maps/contrib/109884507910426749454","","",925,4.3,"https://search.google.com/local/reviews?placeid=ChIJG86Ln8hC1moRgRVvzbmC6iI&q=rooftop+bar&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=2515967076367013249","https://www.google.com/search?kgmid=/g/11b7jfjqws",-37.812176099999995,144.9721901,"http://www.looprooftopbar.com.au/","looprooftopbar.com.au","Thursday: [4-11 pm], Friday: [2 pm-1 am], Saturday: [12 pm-1 am], Sunday: [12-8 pm], Monday: [Closed], Tuesday: [Closed], Wednesday: [4-11 pm]","https://lh5.googleusercontent.com/p/AF1QipPcTS1LgUFlqrmcbSUc_zZZVszq8PN39Kir2k4m=w138-h92-k-no","2515967076367013249","0x6ad642c89f8bce1b:0x22ea82b9cd6f1581","ChIJG86Ln8hC1moRgRVvzbmC6iI","/g/11b7jfjqws"
"Curtin House",,"252 Swanston St, Melbourne VIC 3000","252 Swanston St","Melbourne VIC 3000","Bar, Historical place, Tourist attraction","From the business: [Identifies as women-owned], Service options: [Outdoor seating, On-site services, Dine-in, No delivery, No takeaway], Highlights: [Great cocktails, Live music, Live performances], Accessibility: [No wheelchair-accessible car park], Offerings: [Alcohol, Beer, Cocktails, Dancing, Food, Food at bar, Spirits, Wine], Dining options: [Seating], Amenities: [Toilets], Atmosphere: [Casual], Crowd: [Good for groups], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, ]","4RJ65XQ8+54","Australia/Melbourne","$20–40",,,,,"","YES","Curtin House (owner)","112917010022564362830","https://www.google.com/maps/contrib/112917010022564362830","","",1851,4.4,"https://search.google.com/local/reviews?placeid=ChIJwYzOQcpC1moRbm5SF7RuCm0&q=rooftop+bar&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=7857214219665698414","https://www.google.com/search?kgmid=/m/05mqsc_",-37.8120139,144.9652611,"http://curtinhouse.com/","curtinhouse.com","Thursday: [10 am-3 am], Friday: [10 am-3 am], Saturday: [10 am-3 am], Sunday: [10 am-3 am], Monday: [10 am-3 am], Tuesday: [10 am-3 am], Wednesday: [10 am-3 am]","https://lh5.googleusercontent.com/p/AF1QipNv4F2CbgsSkk_idTS8YM4sFKAq9KdrFpZiWlda=w163-h92-k-no","7857214219665698414","0x6ad642ca41ce8cc1:0x6d0a6eb417526e6e","ChIJwYzOQcpC1moRbm5SF7RuCm0","/m/05mqsc_"
"Rooftop Bar","Burgers & drinks served at an laid-back open-air venue featuring city views.","Curtin House, level 7/252 Swanston St, Melbourne VIC 3000","Curtin House","level 7/252 Swanston St","Bar","Service options: [Outdoor seating, Dine-in, No delivery, No takeaway], Highlights: [Great cocktails, Rooftop seating], Accessibility: [Wheelchair-accessible toilet, No wheelchair-accessible car park, No wheelchair-accessible entrance, No wheelchair-accessible seating], Offerings: [Alcohol, Beer, Cocktails, Dancing, Food, Food at bar, Happy-hour drinks, Spirits, Wine], Dining options: [Seating], Amenities: [Gender-neutral toilets, Toilets, Wi-Fi, ], Atmosphere: [Casual], Crowd: [Good for groups, LGBTQ+ friendly, Transgender safe space], Planning: [Doesn't accept reservations], Payments: [Credit cards, Debit cards, Mobile payments, ], Pets: [Dogs allowed]","4RJ65XQ8+54","Australia/Melbourne","$20–40",,,,"(03) 9654 5394","(03) 9654 5394, +61 3 9654 5394","YES","Rooftop Bar (owner)","113309417198844133040","https://www.google.com/maps/contrib/113309417198844133040","","",1547,4.4,"https://search.google.com/local/reviews?placeid=ChIJL5DOQcpC1moR8EyVKt-VeAg&q=rooftop+bar&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=610402535233375472","https://www.google.com/search?kgmid=/g/11cn2m_h80",-37.8120139,144.9652611,"http://rooftopbar.co/","rooftopbar.co","Thursday: [12 pm-1 am], Friday: [12 pm-1 am], Saturday: [12 pm-1 am], Sunday: [12 pm-1 am], Monday: [12 pm-1 am], Tuesday: [12 pm-1 am], Wednesday: [12 pm-1 am]","https://lh5.googleusercontent.com/p/AF1QipOgr4nz5S5kyMpDt_9vKWuziuZn0WLc_sdy3tbP=w138-h92-k-no","610402535233375472","0x6ad642ca41ce902f:0x87895df2a954cf0","ChIJL5DOQcpC1moR8EyVKt-VeAg","/g/11cn2m_h80"
"Santana Rooftop",,"Level 3/169 Melbourne Pl, Melbourne VIC 3000","Level 3/169 Melbourne Pl","Melbourne VIC 3000","Bar, Cigar shop, Cocktail bar, Event venue, Function room facility, Wine bar","Service options: [Outdoor seating, Dine-in, No delivery, No takeaway], Highlights: [Great cocktails, Rooftop seating], Accessibility: [No wheelchair-accessible car park], Offerings: [Alcohol, Beer, Cocktails, Spirits, Wine], Dining options: [Seating], Amenities: [Toilets], Atmosphere: [Casual, Cosy], Crowd: [Good for groups], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ]","4RJ65XP9+QC","Australia/Melbourne","$20–40",,,,"0466 859 933","0466 859 933, +61 466 859 933","YES","Santana Rooftop (owner)","100812316066891774493","https://www.google.com/maps/contrib/100812316066891774493","","",103,4.7,"https://search.google.com/local/reviews?placeid=ChIJoYXGtY9D1moRRcp2-gnXHnI&q=rooftop+bar&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=8223246407481870917","https://www.google.com/search?kgmid=/g/11m49zf31n",-37.8130461,144.9686219,"http://santanarooftop.com/","santanarooftop.com","Thursday: [4-11 pm], Friday: [3-11 pm], Saturday: [3-11 pm], Sunday: [Closed], Monday: [4-11 pm], Tuesday: [4-11 pm], Wednesday: [4-11 pm]","https://lh5.googleusercontent.com/p/AF1QipOXngeuqaXbUg1ODUhhbsDh7_k3DhZoJsd4e1Qc=w138-h92-k-no","8223246407481870917","0x6ad6438fb5c685a1:0x721ed709fa76ca45","ChIJoYXGtY9D1moRRcp2-gnXHnI","/g/11m49zf31n"
"Blossom Rooftop Bar",,"Pullman Melbourne City Centre, Level 14/265 Little Bourke St, Melbourne VIC 3004","Pullman Melbourne City Centre","Level 14/265 Little Bourke St","Bar, Restaurant","Service options: [Outdoor seating, On-site services, Takeaway, Dine-in, No delivery], Highlights: [Great cocktails, Live music, Live performances, Rooftop seating], Accessibility: [Wheelchair-accessible entrance], Offerings: [Alcohol, Beer, Cocktails, Food, Food at bar, Spirits, Wine], Dining options: [Seating], Amenities: [Toilets], Atmosphere: [Casual, Cosy, Upmarket], Crowd: [Good for groups, LGBTQ+ friendly, Transgender safe space], Planning: [Accepts reservations], Payments: [Credit cards]","4RJ65XP7+VW","Australia/Melbourne",,,,,"(03) 8662 1366","(03) 8662 1366, +61 3 8662 1366","YES","Blossom Rooftop Bar (owner)","109975502208612679276","https://www.google.com/maps/contrib/109975502208612679276","","",69,4.2,"https://search.google.com/local/reviews?placeid=ChIJm8sqwlFD1moRiBJRkbSrL48&q=rooftop+bar&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=10317654063349568136","https://www.google.com/search?kgmid=/g/11twd58qyj",-37.812819999999995,144.9647544,"https://www.pullmanmelbournecitycentre.com.au/","pullmanmelbournecitycentre.com.au","Thursday: [4-11 pm], Friday: [12-11 pm], Saturday: [12-11 pm], Sunday: [Closed], Monday: [Closed], Tuesday: [4-11 pm], Wednesday: [4-11 pm]","https://lh5.googleusercontent.com/p/AF1QipOvqli9INw--mxBhjPXmgAzM6vP-R00Z-lJJ6b8=w80-h106-k-no","10317654063349568136","0x6ad64351c22acb9b:0x8f2fabb491511288","ChIJm8sqwlFD1moRiBJRkbSrL48","/g/11twd58qyj"
"Top Yard Rooftop","Intimate outdoor rooftop bar featuring cocktails, burgers & events such as DJ nights.","2 Geddes Ln, Rear 60 King St, Melbourne VIC 3000","2 Geddes Ln","Rear 60 King St","Bar","From the business: [Identifies as women-owned], Service options: [Outdoor seating, Dine-in, No delivery, No takeaway], Highlights: [Great cocktails, Live music, Live performances, Rooftop seating, Good for watching sport], Accessibility: [No wheelchair-accessible car park], Offerings: [Alcohol, Beer, Cocktails, Food, Food at bar, Spirits, Wine], Dining options: [Seating], Amenities: [Toilets], Atmosphere: [Casual], Crowd: [Good for groups], Planning: [Accepts reservations], Payments: [Credit cards], Parking: [Paid multi-storey car park, Paid street parking]","4RJ65XJ4+CW","Australia/Melbourne","$40–60",,,,"0452 627 842","0452 627 842, +61 452 627 842","YES","Top Yard Rooftop (owner)","112494735575090741306","https://www.google.com/maps/contrib/112494735575090741306","","",163,4.1,"https://search.google.com/local/reviews?placeid=ChIJp80KPZld1moRAQM98kREfVU&q=rooftop+bar&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=6160154928225256193","https://www.google.com/search?kgmid=/g/11gjs1s02h",-37.8188799,144.9573293,"http://www.topyard.com.au/","topyard.com.au","Thursday: [5 pm-1 am], Friday: [5 pm-1 am], Saturday: [5 pm-1 am], Sunday: [Closed], Monday: [Closed], Tuesday: [Closed], Wednesday: [Closed]","https://lh5.googleusercontent.com/p/AF1QipMO2ggiR5deTkn-zpqaZw9aeI_xszgY_59bA9ln=w138-h92-k-no","6160154928225256193","0x6ad65d993d0acda7:0x557d4444f23d0301","ChIJp80KPZld1moRAQM98kREfVU","/g/11gjs1s02h"
"Two Hands Rooftop Bar & Beer Garden Eatery",,"311A Victoria St, Abbotsford VIC 3067","311A Victoria St","Abbotsford VIC 3067","Bar & grill, Hookah bar, Tapas bar","Service options: [Outdoor seating, Kerbside pickup, Takeaway, Dine-in, No delivery], Highlights: [Bar games, Karaoke, Rooftop seating], Accessibility: [Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet], Offerings: [Alcohol, Beer, Cocktails, Coffee, Dancing, Food, Food at bar, Happy-hour drinks, Late-night food, Small plates, Spirits, Vegetarian options, Wine], Dining options: [Brunch, Lunch, Dinner, Catering, Counter service, Dessert, Seating], Amenities: [Bar on site, Toilets, Wi-Fi, ], Atmosphere: [Casual], Crowd: [Family friendly, Good for groups, LGBTQ+ friendly, Transgender safe space], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ], Children: [Good for kids], Parking: [Free of charge street parking, Paid parking lot, Paid street parking, ], Pets: [Dogs allowed]","4RJ65XRW+33","Australia/Melbourne","$20–40",,,,"0481 871 000","0481 871 000, +61 481 871 000","YES","Two Hands Rooftop Bar & Beer Garden Eatery (owner)","112477625841345374426","https://www.google.com/maps/contrib/112477625841345374426","","",1019,4.6,"https://search.google.com/local/reviews?placeid=ChIJPeIRW_tC1moRrKGr7SQ8JZE&q=rooftop+bar&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=10458831838941782444","https://www.google.com/search?kgmid=/g/1ptz274n3",-37.809789599999995,144.9951254,"https://twohandsbar.com.au/","twohandsbar.com.au","Thursday: [4 pm-1 am], Friday: [4 pm-1 am], Saturday: [3:45 pm-1 am], Sunday: [3:30 pm-1 am], Monday: [4 pm-1 am], Tuesday: [4 pm-1 am], Wednesday: [4 pm-1 am]","https://lh5.googleusercontent.com/p/AF1QipNNAT3gODp4BlAOdQiIBgR2k25jusb3bbfOuxT1=w122-h92-k-no","10458831838941782444","0x6ad642fb5b11e23d:0x91253c24edaba1ac","ChIJPeIRW_tC1moRrKGr7SQ8JZE","/g/1ptz274n3"
"Fleet Rooftop Bar",,"1 Queen St, Melbourne VIC 3000","1 Queen St","Melbourne VIC 3000","Bar","Service options: [Dine-in, No delivery, No takeaway], Highlights: [Great cocktails], Accessibility: [Wheelchair-accessible entrance], Offerings: [Alcohol, Beer, Cocktails, Food, Food at bar, Spirits, Wine], Amenities: [Toilets], Atmosphere: [Cosy, Upmarket], Crowd: [Good for groups], Planning: [Accepts reservations], Payments: [Credit cards]","4RJ65XJ6+FR","Australia/Melbourne",,,,,"(03) 9958 9100","(03) 9958 9100, +61 3 9958 9100","YES","Fleet Rooftop Bar (owner)","107187670719273571442","https://www.google.com/maps/contrib/107187670719273571442","","",122,4.6,"https://search.google.com/local/reviews?placeid=ChIJiVHlaQBD1moRD3FgRMTmjAc&q=rooftop+bar&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=544063385640136975","https://www.google.com/search?kgmid=/g/11vqh6wq9n",-37.8187885,144.9620354,"https://fleetrooftopbar.com.au/?utm_source=googleplaces&utm_medium=organic&utm_campaign=googleplaces&utm_content=fleet","fleetrooftopbar.com.au","Thursday: [3-11 pm], Friday: [3 pm-12 am], Saturday: [3 pm-12 am], Sunday: [12-8 pm], Monday: [Closed], Tuesday: [3-11 pm], Wednesday: [3-11 pm]","https://lh5.googleusercontent.com/p/AF1QipN70YxuGD0XZp4cWnR28J1dQnT9lQ81zEOWyRHX=w122-h92-k-no","544063385640136975","0x6ad6430069e55189:0x78ce6c44460710f","ChIJiVHlaQBD1moRD3FgRMTmjAc","/g/11vqh6wq9n"
"Workshop Bar","Live music and DJs in a bohemian space popular for art launches, serving craft beer and basic meals.","1/413 Elizabeth St, Melbourne VIC 3000","1/413 Elizabeth St","Melbourne VIC 3000","Bar, Cocktail bar","Service options: [Outdoor seating, Dine-in, No delivery, No takeaway], Highlights: [Great cocktails, Live music, Live performances, Rooftop seating], Accessibility: [No wheelchair-accessible car park, No wheelchair-accessible entrance], Offerings: [Alcohol, Beer, Cocktails, Food, Food at bar, Spirits, Wine], Dining options: [Seating], Amenities: [Toilets, Wi-Fi, ], Atmosphere: [Casual, Cosy], Crowd: [Good for groups, LGBTQ+ friendly, Transgender safe space], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ]","4RJ65XR6+85","Australia/Melbourne","$1–20",,,,"(03) 9326 4365","(03) 9326 4365, +61 3 9326 4365","YES","Workshop Bar (owner)","114389716954704853272","https://www.google.com/maps/contrib/114389716954704853272","","",1070,4.4,"https://search.google.com/local/reviews?placeid=ChIJo8BJ0TRd1moR1wIOKOsrCWU&q=rooftop+bar&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=7280398561610433239","https://www.google.com/search?kgmid=/g/1tgfws4h",-37.809221699999995,144.9604575,"https://www.workshopbar.com.au/","workshopbar.com.au","Thursday: [4 pm-1 am], Friday: [4 pm-2 am], Saturday: [4 pm-2 am], Sunday: [Closed], Monday: [4 pm-12 am], Tuesday: [4 pm-12 am], Wednesday: [4 pm-1 am]","https://lh5.googleusercontent.com/p/AF1QipOUV7Hon5e6EMAxD_A2kuE2Hj5RPGyaftwvw8Q7=w122-h92-k-no","7280398561610433239","0x6ad65d34d149c0a3:0x65092beb280e02d7","ChIJo8BJ0TRd1moR1wIOKOsrCWU","/g/1tgfws4h"
"Cabinet Bar & Balcony","Casual Parisian-inspired bar with lounge and balcony areas, serving tapas, cocktails and flatbreads.","11 Rainbow Alley, Melbourne VIC 3000","11 Rainbow Alley","Melbourne VIC 3000","Bar, Cocktail bar, Restaurant, Wine bar","Service options: [Outdoor seating, Dine-in, No delivery, No takeaway], Highlights: [Great cocktails, Rooftop seating], Accessibility: [No wheelchair-accessible car park, No wheelchair-accessible entrance], Offerings: [Alcohol, Beer, Cocktails, Food, Food at bar, Spirits, Wine], Dining options: [Seating], Amenities: [Toilets], Atmosphere: [Casual, Cosy], Crowd: [Good for groups], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ], Parking: [Paid street parking]","4RJ65XP8+8G","Australia/Melbourne","$20–40",,,,"(03) 9654 0915","(03) 9654 0915, +61 3 9654 0915","YES","Cabinet Bar & Balcony (owner)","109148709817700609166","https://www.google.com/maps/contrib/109148709817700609166","","",586,4.5,"https://search.google.com/local/reviews?placeid=ChIJVUJ9_LVC1moRSoZpoRqqq8Q&q=rooftop+bar&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=14171607683805316682","https://www.google.com/search?kgmid=/g/1vrq9sb5",-37.8141442,144.9663607,"http://www.cabinetbar.com.au/","cabinetbar.com.au","Thursday: [4 pm-1 am], Friday: [12 pm-1 am], Saturday: [2 pm-1 am], Sunday: [2-11 pm], Monday: [4-11 pm], Tuesday: [4 pm-1 am], Wednesday: [4 pm-1 am]","https://lh5.googleusercontent.com/p/AF1QipMdemuFAryAafS9WoRdhFkR1wlLJUImyUMeji2x=w138-h92-k-no","14171607683805316682","0x6ad642b5fc7d4255:0xc4abaa1aa169864a","ChIJVUJ9_LVC1moRSoZpoRqqq8Q","/g/1vrq9sb5"
