"Name","Description","Fulladdress","Street","Municipality","Categories","About","Plus Code","Time Zone","Price","Note","Amenities","Hotel Class","Phone","Phones","Claimed","Owner","Owner Id","Owner Link","Email","Social Medias","Review Count","Average Rating","Review URL","Google Maps URL","Google Knowledge URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Fid","Place Id","Kgmid"
"Bistro de Paris North Melbourne",,"63 Errol St, North Melbourne VIC 3051","63 Errol St","North Melbourne VIC 3051","Modern French restaurant","From the business: [Identifies as women-owned], Service options: [Dine-in], Accessibility: [Wheelchair-accessible entrance, Wheelchair-accessible seating], Offerings: [Alcohol, Beer, Coffee, Healthy options, Small plates, Spirits, Wine], Dining options: [Lunch, Dinner, Dessert, Seating], Amenities: [Toilets, Wi-Fi, ], Atmosphere: [Cosy, Romantic, Upmarket], Crowd: [Family friendly, LGBTQ+ friendly, Transgender safe space], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, ], Parking: [Free of charge street parking, ]","4RJ65WWX+HM","Australia/Melbourne",,,,,"0403 460 385","0403 460 385, +61 403 460 385","YES","Bistro de Paris North Melbourne (owner)","110025372405918399958","https://www.google.com/maps/contrib/110025372405918399958","","",168,4.4,"https://search.google.com/local/reviews?placeid=ChIJq6pz8Tld1moRK3SREy7-bFI&q=Restaurants&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=5939401482445091883","https://www.google.com/search?kgmid=/g/11ryln1rvv",-37.8036089,144.9492137,"https://www.bistrodeparis.com.au/","bistrodeparis.com.au","Thursday: [5-9 pm], Friday: [5-9 pm], Saturday: [5-9 pm], Sunday: [12-3 pm, 5:30-9 pm], Monday: [Closed], Tuesday: [5-9 pm], Wednesday: [5-9 pm]","https://lh5.googleusercontent.com/p/AF1QipOYyFDlWP8gpYlBg7ti9iWxWcObbN9iAQE3URft=w137-h92-k-no","5939401482445091883","0x6ad65d39f173aaab:0x526cfe2e1391742b","ChIJq6pz8Tld1moRK3SREy7-bFI","/g/11ryln1rvv"
"Mum Mum Asian Street Food","Thai noodles, curry & BBQ dishes offered in a compact, modern space with simple tables & art.","67 Flemington Rd, North Melbourne VIC 3051","67 Flemington Rd","North Melbourne VIC 3051","Thai restaurant","Service options: [Outdoor seating, Takeaway, Dine-in], Accessibility: [Wheelchair-accessible entrance], Offerings: [Alcohol, Beer, Healthy options, Small plates, Spirits, Vegetarian options, Wine], Dining options: [Lunch, Dinner, Dessert, Seating], Amenities: [Toilets], Atmosphere: [Casual, Cosy], Crowd: [Family friendly, Good for groups], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ], Children: [Good for kids, High chairs]","4RJ66X23+7H","Australia/Melbourne","$20–40",,,,"(03) 9329 7106","(03) 9329 7106, +61 3 9329 7106","YES","Mum Mum Asian Street Food (owner)","113514765881721541877","https://www.google.com/maps/contrib/113514765881721541877","","",237,4.6,"https://search.google.com/local/reviews?placeid=ChIJ2290PC5d1moRlh5iYJk-9A0&q=Restaurants&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=1005497445278424726","https://www.google.com/search?kgmid=/g/1jkw511bm",-37.799352999999996,144.95397499999999,"http://www.mummumstreet.com.au/","mummumstreet.com.au","Thursday: [12-3 pm, 5:30-9 pm], Friday: [12-3 pm, 5:30-9 pm], Saturday: [5:30-9 pm], Sunday: [Closed], Monday: [12-3 pm, 5:30-9 pm], Tuesday: [12-3 pm, 5:30-9 pm], Wednesday: [12-3 pm, 5:30-9 pm]","https://lh5.googleusercontent.com/p/AF1QipOCEa4UIqpnJIZbWu66fvXgRR6R3N6KamyOMWk1=w80-h99-k-no","1005497445278424726","0x6ad65d2e3c746fdb:0xdf43e9960621e96","ChIJ2290PC5d1moRlh5iYJk-9A0","/g/1jkw511bm"
"Pho Victoria",,"372 Victoria St, North Melbourne VIC 3051","372 Victoria St","North Melbourne VIC 3051","Vietnamese restaurant, Meal delivery, Take Away Restaurant, Pho restaurant","Service options: [Outdoor seating, Delivery, Takeaway, Dine-in], Offerings: [Coffee, Healthy options, Small plates], Dining options: [Lunch, Dinner, Dessert, Seating], Amenities: [Toilets], Atmosphere: [Casual, Cosy], Crowd: [Good for groups], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ], Children: [Good for kids], Parking: [Free of charge street parking, Paid street parking, ]","4RJ65XV3+RH","Australia/Melbourne","$1–20",,,,"(03) 9972 7283","(03) 9972 7283, +61 3 9972 7283","YES","Pho Victoria (owner)","100433948796428528857","https://www.google.com/maps/contrib/100433948796428528857",,"",559,4.4,"https://search.google.com/local/reviews?placeid=ChIJSzb7xTZd1moR0ZQhSKN11tg&q=Restaurants&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=15624805301358793937","https://www.google.com/search?kgmid=/g/1yj4k3nfx",-37.8054518,144.9539362,,,"Thursday: [11 am-4 pm, 5-9:30 pm], Friday: [11 am-4 pm, 5-9:30 pm], Saturday: [11 am-4 pm, 5-9:30 pm], Sunday: [11 am-4 pm, 5-9:30 pm], Monday: [11 am-4 pm, 5-9:30 pm], Tuesday: [11 am-4 pm, 5-9:30 pm], Wednesday: [11 am-4 pm, 5-9:30 pm]","https://lh5.googleusercontent.com/p/AF1QipO_hYvp2UWWHreZ5AI47g0lZVpT6NAACuulrEzP=w122-h92-k-no","15624805301358793937","0x6ad65d36c5fb364b:0xd8d675a3482194d1","ChIJSzb7xTZd1moR0ZQhSKN11tg","/g/1yj4k3nfx"
"9 Face Thai Cuisine",,"362 Abbotsford St, North Melbourne VIC 3051","362 Abbotsford St","North Melbourne VIC 3051","Thai restaurant, Asian restaurant, Meal delivery, Take Away Restaurant","Service options: [No-contact delivery, Delivery, Takeaway, Dine-in], Highlights: [Fast service], Accessibility: [No wheelchair-accessible car park, No wheelchair-accessible seating, No wheelchair-accessible toilet], Offerings: [Healthy options, Small plates, Vegetarian options], Dining options: [Lunch, Dinner, Dessert, Seating], Amenities: [Toilets], Atmosphere: [Casual], Crowd: [Family friendly], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ], Children: [Good for kids]","4RJ66W2W+PJ","Australia/Melbourne","$20–40",,,,"(03) 8528 1091","(03) 8528 1091, +61 3 8528 1091","YES","9 Face Thai Cuisine (owner)","116844463226819351186","https://www.google.com/maps/contrib/116844463226819351186","","",90,4.4,"https://search.google.com/local/reviews?placeid=ChIJOelfMDtd1moRy04aDfyfE0E&q=Restaurants&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=4689267541923221195","https://www.google.com/search?kgmid=/g/11bw21wr03",-37.798137,144.94653789999998,"https://9facethai.com.au/","9facethai.com.au","Thursday: [4:30-9:30 pm], Friday: [4:30-9:30 pm], Saturday: [4:30-9:30 pm], Sunday: [4:30-9:30 pm], Monday: [4:30-9:30 pm], Tuesday: [4:30-9:30 pm], Wednesday: [4:30-9:30 pm]","https://lh5.googleusercontent.com/p/AF1QipOubhicOm__5eTtlJcliquNwYI5lf3BFsGNmjUo=w80-h106-k-no","4689267541923221195","0x6ad65d3b305fe939:0x41139ffc0d1a4ecb","ChIJOelfMDtd1moRy04aDfyfE0E","/g/11bw21wr03"
"MasalaJo",,"1/520 Victoria St, North Melbourne VIC 3051","1/520 Victoria St","North Melbourne VIC 3051","Fusion restaurant, Hamburger restaurant","Service options: [No-contact delivery, Delivery, Takeaway, Dine-in], Accessibility: [Wheelchair-accessible entrance], Offerings: [Small plates], Dining options: [Lunch, Dinner, Dessert], Amenities: [No toilets], Atmosphere: [Casual], Planning: [Accepts reservations], Payments: [Credit cards], Children: [Good for kids], Parking: [Free of charge street parking, Paid parking lot, Paid street parking, ]","4RJ65WWX+2C","Australia/Melbourne","$1–20",,,,"0435 675 939","0435 675 939, +61 435 675 939","YES","MasalaJo (owner)","107222202977202286517","https://www.google.com/maps/contrib/107222202977202286517","","",146,4.9,"https://search.google.com/local/reviews?placeid=ChIJtx-gbVBd1moRbJue0SFvI2M&q=Restaurants&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=7143675624981175148","https://www.google.com/search?kgmid=/g/11scs5sff3",-37.8048763,144.948556,"https://www.masalajo.com/","masalajo.com","Thursday: [12-9 pm], Friday: [12-9 pm], Saturday: [Closed], Sunday: [Closed], Monday: [12-8:30 pm], Tuesday: [12-8:30 pm], Wednesday: [12-8:30 pm]","https://lh5.googleusercontent.com/p/AF1QipOb5SOdoEBFf75OqB00cmRzp-qvPELLTnWP2mun=w138-h92-k-no","7143675624981175148","0x6ad65d506da01fb7:0x63236f21d19e9b6c","ChIJtx-gbVBd1moRbJue0SFvI2M","/g/11scs5sff3"
"Lanna Thai",,"65 Flemington Rd, North Melbourne VIC 3051","65 Flemington Rd","North Melbourne VIC 3051","Thai restaurant","Service options: [Delivery, Takeaway, Dine-in], Offerings: [Alcohol, Beer, Healthy options, Small plates, Wine], Dining options: [Lunch, Dinner, Dessert], Amenities: [Toilets], Atmosphere: [Casual, Cosy], Crowd: [Good for groups], Planning: [Accepts reservations], Payments: [Credit cards], Children: [Good for kids]","4RJ66X23+7J","Australia/Melbourne","$20–40",,,,"(03) 9329 2960","(03) 9329 2960, +61 3 9329 2960","NO","Lanna Thai (owner)",,"","support@fb.com","",278,4.3,"https://search.google.com/local/reviews?placeid=ChIJKbx-Pi5d1moRC5HyXzxUfv0&q=Restaurants&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=18266129756945813771","https://www.google.com/search?kgmid=/g/1tdy4m1g",-37.7992979,144.9541044,"https://www.facebook.com/lannathainorthmelbourne/","facebook.com","Thursday: [11 am-3 pm, 5-10 pm], Friday: [11 am-3 pm, 5-10 pm], Saturday: [5-10 pm], Sunday: [5-10 pm], Monday: [11 am-3 pm, 5-10 pm], Tuesday: [11 am-3 pm, 5-10 pm], Wednesday: [11 am-3 pm, 5-10 pm]","https://lh5.googleusercontent.com/p/AF1QipMF1tzj2gzLMNqp21or0J24i70bx5edamAlNjjd=w122-h92-k-no","18266129756945813771","0x6ad65d2e3e7ebc29:0xfd7e543c5ff2910b","ChIJKbx-Pi5d1moRC5HyXzxUfv0","/g/1tdy4m1g"
"Pioneer Pizza",,"360 Abbotsford St, North Melbourne VIC 3051","360 Abbotsford St","North Melbourne VIC 3051","Pizza restaurant, Italian restaurant, Pizza takeaway","Service options: [Delivery, Takeaway, Dine-in], Offerings: [Late-night food, Small plates], Dining options: [Dinner], Amenities: [Toilets], Atmosphere: [Casual], Crowd: [Good for groups], Payments: [Debit cards, Mobile payments, ]","4RJ66W2W+PJ","Australia/Melbourne","$20–40",,,,"(03) 9326 4238","(03) 9326 4238, +61 3 9326 4238","NO","Pioneer Pizza (owner)",,"",,"",163,4.3,"https://search.google.com/local/reviews?placeid=ChIJ0UaHMDtd1moRJXVh0-k_Iec&q=Restaurants&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=16654663170499114277","https://www.google.com/search?kgmid=/g/1pwft2_8j",-37.7981792,144.94650819999998,,,"Thursday: [5-10:30 pm], Friday: [5-10:30 pm], Saturday: [5-10:30 pm], Sunday: [5-10:30 pm], Monday: [4:30-10:30 pm], Tuesday: [Closed], Wednesday: [5-10:30 pm]","https://lh5.googleusercontent.com/p/AF1QipO4cHzQztmTlMOZfDhu6lTvQe1iFmGMetQ73-EV=w122-h92-k-no","16654663170499114277","0x6ad65d3b308746d1:0xe7213fe9d3617525","ChIJ0UaHMDtd1moRJXVh0-k_Iec","/g/1pwft2_8j"
"Papa Giuseppe Pizza",,"348 Abbotsford St, North Melbourne VIC 3051","348 Abbotsford St","North Melbourne VIC 3051","Pizza restaurant, Italian restaurant, Take Away Restaurant, Pizza takeaway","Service options: [Delivery, Takeaway, Dine-in], Accessibility: [No wheelchair-accessible seating], Offerings: [Late-night food, Organic dishes, Salad bar, Vegetarian options], Dining options: [Dinner], Atmosphere: [Casual], Planning: [Doesn't accept reservations], Payments: [Credit cards, Mobile payments], Parking: [Free of charge street parking]","4RJ66W2W+FH","Australia/Melbourne","$1–20",,,,"(03) 9329 0200","(03) 9329 0200, +61 3 9329 0200","YES","Papa Giuseppe Pizza (owner)","107787484780787021012","https://www.google.com/maps/contrib/107787484780787021012",,"",260,4.5,"https://search.google.com/local/reviews?placeid=ChIJTcXiPTtd1moRjw36UBNKm9s&q=Restaurants&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=15824323162519768463","https://www.google.com/search?kgmid=/g/1tf432sp",-37.7987959,144.94638,,,"Thursday: [5:30-11 pm], Friday: [5-11 pm], Saturday: [5-11 pm], Sunday: [5-11 pm], Monday: [5:30-11 pm], Tuesday: [Closed], Wednesday: [5:30-11 pm]","https://lh5.googleusercontent.com/p/AF1QipMtclz-EK9ZLXnF20ZntzuL-FxtoqBcdGp2Q2nc=w122-h92-k-no","15824323162519768463","0x6ad65d3b3de2c54d:0xdb9b4a1350fa0d8f","ChIJTcXiPTtd1moRjw36UBNKm9s","/g/1tf432sp"
"Errol's","Gourmet pizzas, eclectic brunch options and creative cakes at a laid-back cafe and patisserie.","69/71 Errol St, North Melbourne VIC 3051","69/71 Errol St","North Melbourne VIC 3051","Restaurant, Bar, Breakfast restaurant, Cafe, Coffee store, Dessert restaurant, Take Away Restaurant, Patisserie, Pizza delivery, Pizza takeaway","Service options: [Outdoor seating, Delivery, On-site services, Takeaway, Dine-in], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet], Offerings: [Alcohol, Beer, Cocktails, Coffee, Healthy options, Private dining room, Small plates, Spirits, Wine], Dining options: [Breakfast, Brunch, Lunch, Dinner, Catering, Counter service, Dessert, Seating], Amenities: [Bar on site, Toilets], Atmosphere: [Casual, Cosy], Crowd: [Good for groups], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, ], Children: [Good for kids, High chairs, Kids' menu], Parking: [Free of charge street parking, Paid parking lot, ]","4RJ65WWX+HP","Australia/Melbourne","$20–40",,,,"(03) 9326 6610","(03) 9326 6610, +61 3 9326 6610","YES","Errol's (owner)","112314926007900274157","https://www.google.com/maps/contrib/112314926007900274157","","",788,4.1,"https://search.google.com/local/reviews?placeid=ChIJse5g9zld1moRKH_lqhWAH9g&q=Restaurants&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=15573306867020300072","https://www.google.com/search?kgmid=/g/1tf_16k1",-37.8035381,144.94933659999998,"http://www.errols.com.au/","errols.com.au","Thursday: [7 am-9 pm], Friday: [7 am-9 pm], Saturday: [8 am-9 pm], Sunday: [8 am-9 pm], Monday: [7 am-9 pm], Tuesday: [7 am-9 pm], Wednesday: [7 am-9 pm]","https://lh5.googleusercontent.com/p/AF1QipOXOYkZEeqtCYhfMIzaMOkWlagSMWvC3QVcfwht=w137-h92-k-no","15573306867020300072","0x6ad65d39f760eeb1:0xd81f8015aae57f28","ChIJse5g9zld1moRKH_lqhWAH9g","/g/1tf_16k1"
"El Sabor - Mexican Restaurant","Tacos, burritos & margaritas prepared in a casual Mexican cantina with artwork & framed mirrors.","500 Victoria St, North Melbourne VIC 3051","500 Victoria St","North Melbourne VIC 3051","Mexican restaurant, Bar","From the business: [Identifies as women-owned], Service options: [Outdoor seating, Delivery, Takeaway, Dine-in], Highlights: [Live music, Good for watching sport], Accessibility: [Wheelchair-accessible seating], Offerings: [Alcohol, Beer, Cocktails, Coffee, Halal food, Happy-hour drinks, Healthy options, Late-night food, Private dining room, Small plates, Spirits, Vegan options, Vegetarian options, Wine], Dining options: [Brunch, Lunch, Dinner, Catering, Counter service, Dessert, Seating], Amenities: [Bar on site, Gender-neutral toilets, Toilets, Wi-Fi, ], Atmosphere: [Casual, Cosy], Crowd: [Family friendly, Good for groups, LGBTQ+ friendly, Transgender safe space], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ], Children: [High chairs, Kids' menu], Parking: [Free of charge street parking, Paid street parking, ], Pets: [Dogs allowed outside]","4RJ65WWX+2R","Australia/Melbourne","$20–40",,,,"(03) 9329 9477","(03) 9329 9477, +61 3 9329 9477","YES","El Sabor - Mexican Restaurant (owner)","116737981524028280109","https://www.google.com/maps/contrib/116737981524028280109","","",691,4.1,"https://search.google.com/local/reviews?placeid=ChIJA8yl2zld1moRIwG5JP_WDuQ&q=Restaurants&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=16433308481642627363","https://www.google.com/search?kgmid=/g/1jmcxgpy_",-37.8049758,144.9496116,"http://www.elsabor.com.au/","elsabor.com.au","Thursday: [12-9 pm], Friday: [12-10 pm], Saturday: [12-10 pm], Sunday: [12-9 pm], Monday: [5-9 pm], Tuesday: [5-9 pm], Wednesday: [12-9 pm]","https://lh5.googleusercontent.com/p/AF1QipPdm2oiTUdC3q6irjTJH1Qfe7n-XaVCOYVUR42-=w122-h92-k-no","16433308481642627363","0x6ad65d39dba5cc03:0xe40ed6ff24b90123","ChIJA8yl2zld1moRIwG5JP_WDuQ","/g/1jmcxgpy_"
