"Name","Description","Fulladdress","Street","Municipality","Categories","About","Plus Code","Time Zone","Price","Note","Amenities","Hotel Class","Phone","Phones","Claimed","Owner","Owner Id","Owner Link","Email","Social Medias","Review Count","Average Rating","Review URL","Google Maps URL","Google Knowledge URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Fid","Place Id","Kgmid"
"Mercure North Melbourne","Unfussy rooms & suites in a straightforward hotel featuring a cafe/bar & an outdoor pool.
Set 2 km from the Melbourne Zoo, this low-key hotel in is a 10-minute walk from the University of Melbourne and 5 km from the Melbourne Cricket Ground.
Straightforward rooms feature free Wi-Fi, flat-screen TVs, minibars, and tea and coffeemaking facilities. Upgraded add lounge areas. Room service is available.
Amenities include a casual cafe/bar, a fitness room, an outdoor pool and a sauna. Breakfast and parking are available for a surcharge.","And, Cnr Flemington Road, Harker St, VIC 3051","And","Cnr Flemington Road","Hotel","","4RJ66X32+74","Australia/Melbourne","$201",,"Pool,Free Wi-Fi,Air-conditioned,Breakfast","4 stars","(03) 9329 1788","(03) 9329 1788, +61 3 9329 1788","YES","Mercure North Melbourne (owner)","116696721417776834104","https://www.google.com/maps/contrib/116696721417776834104","ha1h4@accor.com, h1714-re2@accor.com, customercare@accor.com","",519,3.7,"https://search.google.com/local/reviews?placeid=ChIJh3tmdi9d1moRmsrbCDaH6ug&q=Hotels&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=16783375627496180378","https://www.google.com/search?kgmid=/g/1ydp5bq0y",-37.796791299999995,144.9503169,"https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=9270&merchantid=seo-maps-AU-9270&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps","all.accor.com","","https://lh3.googleusercontent.com/gps-proxy/ALd4DhEuwOVffUTrtzsZS8H4FgELv09lpwbRK8hCCxGnZdafk-nrZXTOEsnjJelLN8zI9w6YXMG8sB86zd1_ZUiec6CJgCUp6KZYLPeTMXOBXDPiWhCUKmoHd5H3X93iSu_HTvG6gHUzLTar_UcQ0wFzaHsVlllQkbp4jHsIyOKQmwcOoh7kq1t-bw3E=w122-h92-k-no","16783375627496180378","0x6ad65d2f76667b87:0xe8ea873608dbca9a","ChIJh3tmdi9d1moRmsrbCDaH6ug","/g/1ydp5bq0y"
"Mercure Melbourne Doncaster",,"6 Tower St, Doncaster VIC 3108","6 Tower St","Doncaster VIC 3108","Hotel","","4RJ7647H+87","Australia/Melbourne","$178",,"Pool,Free breakfast,Free Wi-Fi,Air-conditioned","4 stars","(03) 9843 8900","(03) 9843 8900, +61 3 9843 8900","YES","Mercure Melbourne Doncaster (owner)","106310420419894470827","https://www.google.com/maps/contrib/106310420419894470827","ha1h4@accor.com, h1714-re2@accor.com, customercare@accor.com","",330,4.4,"https://search.google.com/local/reviews?placeid=ChIJWf7TBj5H1moRWWqNVulej5w&q=Hotels&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=11281339947858881113","https://www.google.com/search?kgmid=/g/11np7t1ycg",-37.786727899999995,145.12817379999998,"https://all.accor.com/hotel/B322/index.en.shtml?goto=fiche_hotel&code_hotel=B322&merchantid=seo-maps-AU-B322&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps","all.accor.com","","https://lh3.googleusercontent.com/gps-proxy/ALd4DhHk3d0K5EWUipDDLFCmhbJNejlIrdnYC4HRqNqzU2QEcjTh8c38AhQE7EAegMXygTOM48jCr37fpbOEl4C85CY8z5A7RnmnZ9MiAmhxswCkF0_K1qdcVpymtTE3FJxIBYFXdJNvCR6xrPP64XC9EknAvT3KpBNQNA0SrL8-alSzdPDgMSks4A0t=w122-h92-k-no","11281339947858881113","0x6ad6473e06d3fe59:0x9c8f5ee9568d6a59","ChIJWf7TBj5H1moRWWqNVulej5w","/g/11np7t1ycg"
"Hotel Chadstone Melbourne - MGallery Collection","Chic quarters in a refined hotel featuring a fashionable Italian restaurant, a bar & an indoor pool.
Next to Chadstone Shopping Centre, this polished, upscale hotel in a striking curved building is 2 km from the M1 freeway and 5 km from the Monash University Museum of Art.
The chic rooms feature flat-screen TVs and Wi-Fi, plus minifridges, and tea and coffeemaking facilities. Suites add living rooms and/or balconies. Some provide free-standing baths and dining areas. Room service is offered 24/7.
Dining options include a fashionable Italian restaurant and a rooftop bar. There’s also an indoor pool with city views, in addition to a gym, a spa and meeting/event space. Breakfast and parking are available.","1341 Dandenong Rd, Chadstone VIC 3148","1341 Dandenong Rd","Chadstone VIC 3148","Hotel","Crowd: [LGBTQ+ friendly]","4RJ7436J+JQ","Australia/Melbourne","$316",,"Pool,Free Wi-Fi,Air-conditioned,Breakfast","5 stars","(03) 9108 3333","(03) 9108 3333, +61 3 9108 3333","YES","Hotel Chadstone Melbourne - MGallery Collection (owner)","108772965067366205488","https://www.google.com/maps/contrib/108772965067366205488","ha1h4@accor.com, h1714-re2@accor.com, customercare@accor.com","",804,4.3,"https://search.google.com/local/reviews?placeid=ChIJc6q16-1r1moR06z-PIZltUQ&q=Hotels&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=4950974992587074771","https://www.google.com/search?kgmid=/g/11h0zf_7hf",-37.8884428,145.0819516,"https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=B2U8&merchantid=seo-maps-AU-B2U8&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps","all.accor.com","","https://lh5.googleusercontent.com/p/AF1QipP8VB1U9d0cJO5iLGosg73Ukfz5zOg9dguiG4q8=w138-h92-k-no","4950974992587074771","0x6ad66bedebb5aa73:0x44b565863cfeacd3","ChIJc6q16-1r1moR06z-PIZltUQ","/g/11h0zf_7hf"
"The Larwill Studio Melbourne - Art Series","Trendy rooms with original artwork in an upmarket artist-themed hotel featuring chic dining & a bar.
In a contemporary building offering views of Royal Park, this upscale hotel dedicated to artist David Larwill is 2 km from Queen Victoria Market, and 5 km from Crown Casino and Entertainment Complex.
Featuring custom artwork and bedding, the fashionable rooms include free Wi-Fi, flat-screen TVs, minibars, microwaves and yoga mats, as well as art books. Upgraded rooms add park views.
Loaner prams are available. There's an urban-chic cafe serving international cuisine, as well as a bar. Additional amenities include landscaped gardens and off-street parking (surcharge), plus supplies for creating art. There are also car and bike rentals.","48 Flemington Rd, Parkville VIC 3052","48 Flemington Rd","Parkville VIC 3052","Hotel","","4RJ66W4X+2W","Australia/Melbourne","$213",,"Free Wi-Fi,Air-conditioned,Breakfast,Wi-Fi","4 stars","(03) 9032 9111","(03) 9032 9111, +61 3 9032 9111","YES","The Larwill Studio Melbourne - Art Series (owner)","105005000761345080932","https://www.google.com/maps/contrib/105005000761345080932","ha1h4@accor.com, h1714-re2@accor.com, customercare@accor.com","",474,4.5,"https://search.google.com/local/reviews?placeid=ChIJbc1U2yVd1moRDmmhT-cr1ng&q=Hotels&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=8707195202040850702","https://www.google.com/search?kgmid=/m/0121nj8f",-37.7949609,144.94978369999998,"https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=B3V4&merchantid=seo-maps-AU-B3V4&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps","all.accor.com","","https://lh3.googleusercontent.com/gps-proxy/ALd4DhHV8r_QZPqGxN5yyCWWf6oRDshIG1aROnrJNAa2L5gOqj8swO-FpMbMj_PtaZUSFJ6bK-QMZ9WAUDqWqOjID797n8Prbbjf0iKTN9hkTAsiIJZgLbWDF1vk68fnjTicKVzYGizHhr7qpbRczZHqVFE1Ue2DBt1KS1ibpJvlF87wgn9iTzuyf6mz=w122-h92-k-no","8707195202040850702","0x6ad65d25db54cd6d:0x78d62be74fa1690e","ChIJbc1U2yVd1moRDmmhT-cr1ng","/m/0121nj8f"
"The Chen Melbourne - Art Series","Chic rooms & suites in a trendy boutique hotel offering a gym, a bistro & a Chinese restaurant.
Set 19 km from Port Phillip Bay, this contemporary, art-filled boutique hotel is 3 km from Maranoa Gardens and 38 km from Melbourne Airport.
Sleek, sophisticated rooms with colourful artwork feature flat-screen TVs, free Wi-Fi and minibars, plus tea and coffeemakers. Suites include sitting areas and furnished balconies. Room service is available 24/7.
Amenities include a chic bistro and a Chinese restaurant. There’s also a fitness centre.","850 Whitehorse Rd, Box Hill VIC 3128","850 Whitehorse Rd","Box Hill VIC 3128","Hotel","","4RJ754J9+X8","Australia/Melbourne","$182",,"Pool,Free Wi-Fi,Air-conditioned,Wi-Fi","4 stars","(03) 9131 0200","(03) 9131 0200, +61 3 9131 0200","YES","The Chen Melbourne - Art Series (owner)","102199050251504845142","https://www.google.com/maps/contrib/102199050251504845142","ha1h4@accor.com, h1714-re2@accor.com, customercare@accor.com","",459,4.2,"https://search.google.com/local/reviews?placeid=ChIJYcWF7bdA1moRfdOnmRsq1h0&q=Hotels&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=2149952170146386813","https://www.google.com/search?kgmid=/g/11g7z7s08n",-37.817619799999996,145.118358,"https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=B3V1&merchantid=seo-maps-AU-B3V1&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps","all.accor.com","","https://lh5.googleusercontent.com/p/AF1QipOcPFHtHu27Za2azTi2doeBpkFtgkYjnxXioipg=w138-h92-k-no","2149952170146386813","0x6ad640b7ed85c561:0x1dd62a1b99a7d37d","ChIJYcWF7bdA1moRfdOnmRsq1h0","/g/11g7z7s08n"
"Quest Caroline Springs","Streamlined units, some with balconies, in a modern apartment hotel offering free parking & Wi-Fi.
Next to a shopping centre, this sleek apartment hotel is 9 km from Organ Pipes National Park, which features unusual geological formations, and 22 km from Melbourne Airport.
Streamlined studios provide free Wi-Fi, flat-screen TVs and safes. All have kitchenettes, while 1- and 2-bedroom apartments add balconies, living rooms and DVD players. Upgraded apartments feature whirlpool baths.
Secured parking is complimentary. Grocery delivery service and breakfast are available (fees may apply).","234 Caroline Springs Blvd, Caroline Springs VIC 3023","234 Caroline Springs Blvd","Caroline Springs VIC 3023","Hotel, Serviced accommodation","","4RJ67P9R+JQ","Australia/Melbourne","$183",,"Free parking,Free Wi-Fi,Air-conditioned,Breakfast","4 stars","(03) 8361 3888","(03) 8361 3888, +61 3 8361 3888","YES","Quest Caroline Springs (owner)","117520287825864704056","https://www.google.com/maps/contrib/117520287825864704056","","",400,4,"https://search.google.com/local/reviews?placeid=ChIJFaRReh311moR7A8TxnET7JA&q=Hotels&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=10442743015340707820","https://www.google.com/search?kgmid=/g/1vb9d62v",-37.7309202,144.74195419999998,"https://www.questapartments.com.au/properties/vic/caroline-springs/quest-caroline-springs","questapartments.com.au","","https://lh5.googleusercontent.com/p/AF1QipOF4QCEbVbB-KTl5OSefs_cF3RjdkBWIqRpMrxg=w138-h92-k-no","10442743015340707820","0x6ad6f51d7a51a415:0x90ec1371c6130fec","ChIJFaRReh311moR7A8TxnET7JA","/g/1vb9d62v"
"The Ritz-Carlton, Melbourne","Upmarket hotel featuring a chic restaurant, an indoor pool & a spa, plus harbour views.
In a modern tower with views of Victoria Harbour, this upmarket hotel is a 15-minute walk from the Melbourne Convention and Exhibition Centre, 3 km from the National Gallery of Victoria and 22 km from Melbourne Airport.
Polished rooms, some with harbour views, feature floor-to-ceiling windows and TVs, as well as minifridges and Wi-Fi. Suites have separate living rooms and dining areas. Club quarters allow access to a lounge with free cocktails. Room service is available 24/7.
There's a chic restaurant with skyline views, plus a cocktail bar, an indoor infinity pool, a spa and a 24/7 fitness centre. Parking and breakfast are available.","650 Lonsdale St, Melbourne VIC 3000","650 Lonsdale St","Melbourne VIC 3000","Hotel","","4RJ65XP3+35","Australia/Melbourne","$635",,"Pool,Spa,Free Wi-Fi,Air-conditioned","5 stars","(03) 9122 2888","(03) 9122 2888, +61 3 9122 2888","YES","The Ritz-Carlton, Melbourne (owner)","100051571125307229012","https://www.google.com/maps/contrib/100051571125307229012","","",409,4.5,"https://search.google.com/local/reviews?placeid=ChIJfZGGrDxd1moRMQclgXcozFo&q=Hotels&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=6542648852395394865","https://www.google.com/search?kgmid=/g/11tjcdw14y",-37.8147847,144.9529471,"https://www.ritzcarlton.com/en/hotels/melrz-the-ritz-carlton-melbourne/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0","ritzcarlton.com","","https://lh5.googleusercontent.com/p/AF1QipNkeOq3_bDDqfo75ms8llkWUfE8Bu_HRmFrDizn=w122-h92-k-no","6542648852395394865","0x6ad65d3cac86917d:0x5acc287781250731","ChIJfZGGrDxd1moRMQclgXcozFo","/g/11tjcdw14y"
"Crown Metropol Melbourne","Posh high-rise lodging offering refined around-the-world dining, plus a spa & a 27th-floor pool.
This sophisticated, contemporary high-rise hotel is 1.6 km from the National Gallery of Victoria, and 2.4 km from the produce and cafes of Queen Victoria Market.
Offering floor-to-ceiling windows with views of the city or Port Phillip Bay, the upscale, modern rooms come with flat-screen TVs and free Wi-Fi, plus minibars, and tea and coffeemaking equipment. Lofts include separate living/dining areas; an apartment adds a soaking tub.
There are 5 bars and 18 restaurants, including a posh oyster bar and a chic Heston Blumenthal eatery. Other amenities include a spa and a 27th-floor indoor pool with skyline views, as well as meeting and event space.","8 Whiteman St, Southbank VIC 3006","8 Whiteman St","Southbank VIC 3006","Hotel","","4RJ65XF5+M3","Australia/Melbourne","$305",,"Pool,Spa,Free breakfast,Free Wi-Fi","5 stars","(03) 9292 6211","(03) 9292 6211, +61 3 9292 6211","YES","Crown Metropol Melbourne (owner)","109475419965853526844","https://www.google.com/maps/contrib/109475419965853526844","reservations.mct@crownhotels.com.au, reservations.mcm@crownhotels.com.au, reservations.mcp@crownhotels.com.au","",2967,4.3,"https://search.google.com/local/reviews?placeid=ChIJs-Q2IlNd1moRGz76n97nmCg&q=Hotels&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=2925342901329870363","https://www.google.com/search?kgmid=/g/12hmpzzzy",-37.8257525,144.9576725,"https://www.crownhotels.com.au/melbourne/crown-metropol?utm_source=local-directories&utm_medium=organic&utm_campaign=travelclick-localconnect","crownhotels.com.au","","https://lh5.googleusercontent.com/p/AF1QipPg1lbyIYFqQKixEwMHZWplWJLYoe832JbubIgr=w132-h92-k-no","2925342901329870363","0x6ad65d532236e4b3:0x2898e7de9ffa3e1b","ChIJs-Q2IlNd1moRGz76n97nmCg","/g/12hmpzzzy"
"Mercure Melbourne Caroline Springs","Elegant lakeside hotel offering dining, a bar & an indoor pool, plus a gym.
Set on the shores of Lake Caroline Reserve, this polished hotel is 9 km from Organ Pipes National Park and 19 km from Melbourne Airport.
Modern rooms with dark wood furnishings offer Wi-Fi (fee), flat-screen TVs, and floor-to-ceiling windows, plus balconies. All have desks, minibars, and tea and coffeemaking facilities; upgraded rooms add lake views and/or espresso coffeemakers. Room service is available.
Parking is complimentary. There's also a bar and a contemporary bistro with a terrace and lake views. Other amenities include an indoor pool and a gym. Breakfast is available for a fee.","10/20 Lake St, Caroline Springs VIC 3023","10/20 Lake St","Caroline Springs VIC 3023","Hotel","","4RJ67P9W+52","Australia/Melbourne","$175",,"Pool,Free parking,Free Wi-Fi,Air-conditioned","4 stars","(03) 8358 0555","(03) 8358 0555, +61 3 8358 0555","YES","Mercure Melbourne Caroline Springs (owner)","112800054341927829390","https://www.google.com/maps/contrib/112800054341927829390","","",471,4.2,"https://search.google.com/local/reviews?placeid=ChIJl-GS8Rz11moRfAqzyeV4ZfE&q=Hotels&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=17394442064115206780","https://www.google.com/search?kgmid=/g/1thx_yvv",-37.7320147,144.7450316,"https://mercurecs.com.au/","mercurecs.com.au","","https://lh5.googleusercontent.com/p/AF1QipNYX6htjJRaTEs3tCTsHxfDc18h56wbq9MEX_g-=w163-h92-k-no","17394442064115206780","0x6ad6f51cf192e197:0xf16578e5c9b30a7c","ChIJl-GS8Rz11moRfAqzyeV4ZfE","/g/1thx_yvv"
"Club Laverton","Simply furnished rooms with free Wi-Fi & minifridges, plus a pub-style bistro & a sport bar.
A kilometer from Laverton Station, this roadside entertainment club with rooms lies 6 km from the Truganina Coastal Parklands and 10 km from Pacific Werribee shopping centre.
Cosy rooms with simple decor feature free Wi-Fi and flat-screen TVs, as well as tea and coffeemaking equipment and minifridges. Upgraded rooms add whirlpool tubs, while suites have separate living areas.
Parking is free. Other amenities include a pub-style bistro/bar offering breakfast options (fee), and a lounge with TVs screening sporting events.","15 Aviation Rd, Laverton VIC 3028","15 Aviation Rd","Laverton VIC 3028","Motel, Bistro, Sports bar","","4RJ64QJ6+PP","Australia/Melbourne","$164",,"Free parking,Free Wi-Fi,Air-conditioned,Wi-Fi","3 stars","(03) 9369 1811","(03) 9369 1811, +61 3 9369 1811","YES","Club Laverton (owner)","110396503239067654175","https://www.google.com/maps/contrib/110396503239067654175","","",497,4.1,"https://search.google.com/local/reviews?placeid=ChIJ7cvrMLaJ1moRgygQITVOQxQ&q=Hotels&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=1460096694293112963","https://www.google.com/search?kgmid=/g/1td2zlsk",-37.8682022,144.7617645,"http://clublaverton.com.au/","clublaverton.com.au","","https://lh3.googleusercontent.com/gps-proxy/ALd4DhG3WQh4BokNdOcLuv9GG6XEpHYmMrS8v_89aYyFRGF96eJyGxEMFnFbPMv6v-LIWCjxRT_pCTBJeq4MHuW8PI39eE_g1KRgKyrd4f_xPnNOV93Ka6QjoAWD7cBqisQgvQwCwORpcdu0AF1L9kMtO-GCNcCFJi5WQzvym-sFDWvm-wA-nLOc_G87Lw=w172-h92-k-no","1460096694293112963","0x6ad689b630ebcbed:0x14434e3521102883","ChIJ7cvrMLaJ1moRgygQITVOQxQ","/g/1td2zlsk"
