Name,Description,Fulladdress,Street,Municipality,Categories,About,Plus Code,Time Zone,Price,Note,Amenities,Hotel Class,Phone,Phones,Claimed,Owner,Owner Id,Owner Link,Email,Social Medias,Review Count,Average Rating,Review URL,Google Maps URL,Google Knowledge URL,Latitude,Longitude,Website,Domain,Opening Hours,Featured Image,Cid,Fid,Place Id,Kgmid
Atlantis Hotel,"Contemporary rooms in a high-rise property featuring a gym, a sauna and an indoor pool.
Set 1.3 km from the Crown Casino and Entertainment Complex, this modern high-rise hotel is also 1.5 km from historic Queen Victoria Market and 3 km from the harbour.
The contemporary rooms and suites include sitting areas, flat-screen TVs and free limited Wi-Fi, along with desks, minifridges, and tea and coffeemaking facilities. Some quarters offer city or harbour views.
A complimentary continental breakfast buffet is provided. There's an indoor pool, a sauna and a gym, plus a business centre and parking (surcharge).","300 Spencer St, Melbourne VIC 3000",300 Spencer St,Melbourne VIC 3000,Hotel,,4RJ65XP2+HP,Australia/Melbourne,$123 ,,"Pool,Free Wi-Fi,Air-conditioned,Breakfast",4 stars,(03) 9600 2900,"(03) 9600 2900, +61 3 9600 2900",YES,Atlantis Hotel (owner),1.07017E+20,https://www.google.com/maps/contrib/107017051930443006325,,,2270,4,https://search.google.com/local/reviews?placeid=ChIJl3kMNE9d1moRgFaMekXmecU&q=Hotels&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=14229657683736942208,https://www.google.com/search?kgmid=/g/1vgx0x3c,-37.8136041,144.9518625,http://www.atlantishotel.com.au/,atlantishotel.com.au,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhF-8rfaU4nKKeh-uLrToz8iDOz7q6LX-zN0TfVLj_WPLtz2EZtr_zBgv4t6Ivr77LslnvldDmBQgi6zzBv2Y83p9EYj_p95f0eAJnbabfDqmLfMaEpmMjsTD01xIKwoutMwMn4F451i6vL50k7f7EwYD8l-NYqEUge7cD7m2Nz9hO05ivA_9iDv7A=w155-h92-k-no,1.42297E+19,0x6ad65d4f340c7997:0xc579e6457a8c5680,ChIJl3kMNE9d1moRgFaMekXmecU,/g/1vgx0x3c
"Quest NewQuay, Docklands","Contemporary units with balconies in a sophisticated apartment hotel with a gym & a terrace.
This sophisticated apartment hotel in a modern tower offers views of the Melbourne Star Observation Wheel. It’s a minute’s walk from the nearest tram stop and a 3-minute walk from The District Docklands open-air shopping mall.
Ranging from studios to 3-bedroom apartments, the contemporary units offer free Wi-Fi, flat-screen TVs and kitchenettes, as well as tea and coffeemaking equipment. All feature balconies; some have laundry facilities, plus separate living and dining space.
Amenities include an airy lobby lounge, a gym, and a furnished terrace with BBQs. There’s also meeting and event space. Breakfast and parking are available (on request).","26 Caravel Ln, Docklands VIC 3008",26 Caravel Ln,Docklands VIC 3008,Hotel,,4RJ65WPR+98,Australia/Melbourne,$132 ,,"Free Wi-Fi,Air-conditioned,Wi-Fi,Parking",4 stars,(03) 9070 8000,"(03) 9070 8000, +61 3 9070 8000",YES,"Quest NewQuay, Docklands (owner)",1.08715E+20,https://www.google.com/maps/contrib/108715126160941509419,,,476,4.5,https://search.google.com/local/reviews?placeid=ChIJGyg0lMZd1moRVm_0w5Cc28A&q=Hotels&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=13896873220758597462,https://www.google.com/search?kgmid=/g/11f7stdpfx,-37.8140377,144.9407744,https://www.questapartments.com.au/properties/vic/docklands/quest-newquay/overview,questapartments.com.au,,https://lh5.googleusercontent.com/p/AF1QipOkm_BTcfnsub1cHpr5NLHIEoETyx0_hKleVqFA=w137-h92-k-no,1.38969E+19,0x6ad65dc69434281b:0xc0db9c90c3f46f56,ChIJGyg0lMZd1moRVm_0w5Cc28A,/g/11f7stdpfx
Oakwood Premier Melbourne,"Laid-back rooms, studios & apartments in a refined, modern hotel with a gym, a restaurant & a bar.
Off the West Gate Freeway, this modern, upmarket hotel is 9 minutes' walk from the DFO South Wharf mall and 3 km from Flinders Street railway station.
Featuring floor-to-ceiling windows, relaxed rooms provide Nespresso machines, and TVs with Chromecast. Upgraded rooms add panoramic city views and lounge access. Studios offer kitchens with fridges, microwaves and stovetops, plus washers/dryers. The 1- and 2-bedroom apartments add separate living rooms. There's room service.
Wi-Fi and parking are available. A breakfast buffet is served at the restaurant, and there's a bar. Other amenities include meeting facilities, a co-working space and a gym.","202 Normanby Rd, Southbank VIC 3006",202 Normanby Rd,Southbank VIC 3006,"Hotel, Extended stay hotel, Serviced accommodation, Serviced apartment",,4RJ65WCX+QQ,Australia/Melbourne,$186 ,,"Free Wi-Fi,Air-conditioned,Breakfast,Wi-Fi",5 stars,(03) 9087 3400,"(03) 9087 3400, +61 3 9087 3400",YES,Oakwood Premier Melbourne (owner),1.16624E+20,https://www.google.com/maps/contrib/116624170967877306888,,,697,4.1,https://search.google.com/local/reviews?placeid=ChIJG3b4RH9n1moRm04vZHboVVw&q=Hotels&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=6653479619694382747,https://www.google.com/search?kgmid=/g/11ny1xvbls,-37.8280917,144.949413,https://www.discoverasr.com/en/oakwood/australia/oakwood-premier-melbourne?utm_source=google&utm_medium=maps&utm_campaign=hq-google-gbp-alwayson-20240531-all-en-au-au-oakwoodpremiermelbourne-eme-gbp,discoverasr.com,,https://lh5.googleusercontent.com/p/AF1QipNRD8-G_h8354qM2Gk_pqzPgYt4keOb5e8DmHTV=w201-h92-k-no,6.65348E+18,0x6ad6677f44f8761b:0x5c55e876642f4e9b,ChIJG3b4RH9n1moRm04vZHboVVw,/g/11ny1xvbls
Mercure North Melbourne,"Unfussy rooms & suites in a straightforward hotel featuring a cafe/bar & an outdoor pool.
Set 2 km from the Melbourne Zoo, this low-key hotel in is a 10-minute walk from the University of Melbourne and 5 km from the Melbourne Cricket Ground.
Straightforward rooms feature free Wi-Fi, flat-screen TVs, minibars, and tea and coffeemaking facilities. Upgraded add lounge areas. Room service is available.
Amenities include a casual cafe/bar, a fitness room, an outdoor pool and a sauna. Breakfast and parking are available for a surcharge.","And, Cnr Flemington Road, Harker St, VIC 3051",And,Cnr Flemington Road,Hotel,,4RJ66X32+74,Australia/Melbourne,$191 ,,"Pool,Free Wi-Fi,Air-conditioned,Breakfast",4 stars,(03) 9329 1788,"(03) 9329 1788, +61 3 9329 1788",YES,Mercure North Melbourne (owner),1.16697E+20,https://www.google.com/maps/contrib/116696721417776834104,"ha1h4@accor.com, h1714-re2@accor.com, customercare@accor.com",,521,3.6,https://search.google.com/local/reviews?placeid=ChIJh3tmdi9d1moRmsrbCDaH6ug&q=Hotels&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=16783375627496180378,https://www.google.com/search?kgmid=/g/1ydp5bq0y,-37.7967913,144.9503169,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=9270&merchantid=seo-maps-AU-9270&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,all.accor.com,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFOcnn6qigVMXjMreIMFAZ-Sffg25xd8MOCNJ_W1jjExxHf0f2aHeOhlCLwLoncDec-4RQNXURd3dRwGsP2xq-V5HQrYVrQ93jZGGdd_FF82Jsm6UyfUhrUwf5KtFpakYgQquRDHU6LMoy1xaSayDNs_Noal87AllUBEbpjnwUz0bjAAJRkLG9L=w122-h92-k-no,1.67834E+19,0x6ad65d2f76667b87:0xe8ea873608dbca9a,ChIJh3tmdi9d1moRmsrbCDaH6ug,/g/1ydp5bq0y
The Larwill Studio Melbourne - Art Series,"Trendy rooms with original artwork in an upmarket artist-themed hotel featuring chic dining & a bar.
In a contemporary building offering views of Royal Park, this upscale hotel dedicated to artist David Larwill is 2 km from Queen Victoria Market, and 5 km from Crown Casino and Entertainment Complex.
Featuring custom artwork and bedding, the fashionable rooms include free Wi-Fi, flat-screen TVs, minibars, microwaves and yoga mats, as well as art books. Upgraded rooms add park views.
Loaner prams are available. There's an urban-chic cafe serving international cuisine, as well as a bar. Additional amenities include landscaped gardens and off-street parking (surcharge), plus supplies for creating art. There are also car and bike rentals.","48 Flemington Rd, Parkville VIC 3052",48 Flemington Rd,Parkville VIC 3052,Hotel,,4RJ66W4X+2W,Australia/Melbourne,$209 ,,"Free Wi-Fi,Air-conditioned,Breakfast,Wi-Fi",4 stars,(03) 9032 9111,"(03) 9032 9111, +61 3 9032 9111",YES,The Larwill Studio Melbourne - Art Series (owner),1.05005E+20,https://www.google.com/maps/contrib/105005000761345080932,"ha1h4@accor.com, h1714-re2@accor.com, customercare@accor.com",,474,4.5,https://search.google.com/local/reviews?placeid=ChIJbc1U2yVd1moRDmmhT-cr1ng&q=Hotels&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=8707195202040850702,https://www.google.com/search?kgmid=/m/0121nj8f,-37.7949609,144.9497837,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=B3V4&merchantid=seo-maps-AU-B3V4&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,all.accor.com,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhE_UIOFf7fuCqA6tMWjZJrxXzPLp4swnmFTFSprqo4Nh5DqPiTtVJpyBnrgwGqFq1DSvyse_VU_eRyZTChFe1z2mVNn784tE8lfbY-P3FdpLPZMUcwe1UE0xZZYGmzVnxXPuh757b9KSIX8l6RgoTseY_9psXB2-NFTlR9Am4mwvZQYqtcZt3ku=w122-h92-k-no,8.7072E+18,0x6ad65d25db54cd6d:0x78d62be74fa1690e,ChIJbc1U2yVd1moRDmmhT-cr1ng,/m/0121nj8f
Miami Hotel Melbourne,"Humble rooms in a low-key budget hotel offering a shared kitchen & dining area, plus free Wi-Fi.
Near the shopping and dining on Errol Street, this modest budget hotel is 2 km from the Crown Casino and Entertainment Complex, and 3 km from the National Gallery of Victoria.
Simply furnished rooms include free Wi-Fi, and flat-screen TVs with satellite channels, as well as minifridges, and tea and coffeemaking facilities.
Breakfast (fee) is available in a cafe that has a deck. Other amenities include a guest kitchen, a dining room and coin-operated laundry facilities.","13 Hawke St, West Melbourne VIC 3003",13 Hawke St,West Melbourne VIC 3003,Hotel,,4RJ65WVX+H9,Australia/Melbourne,$85 ,,"Free Wi-Fi,Air-conditioned,Wi-Fi,Parking",3 stars,(03) 9321 2444,"(03) 9321 2444, +61 3 9321 2444",YES,Miami Hotel Melbourne (owner),1.14624E+20,https://www.google.com/maps/contrib/114623552084796064318,,,799,4.2,https://search.google.com/local/reviews?placeid=ChIJWdDeRThd1moRZcPzAOk4-fY&q=Hotels&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=17796317975925736293,https://www.google.com/search?kgmid=/g/1thq5fgx,-37.8060041,144.948476,https://www.themiami.com.au/,themiami.com.au,,https://lh5.googleusercontent.com/p/AF1QipPMlicSqANU2f42YF_YrHgIfcAtzYjLieXzAyCK=w137-h92-k-no,1.77963E+19,0x6ad65d3845ded059:0xf6f938e900f3c365,ChIJWdDeRThd1moRZcPzAOk4-fY,/g/1thq5fgx
Pullman Melbourne Albert Park,"Modern rooms in a polished property offering regional dining, meeting space & a breezy cocktail bar.
This upscale, contemporary hotel is 2.4 km from Luna Park theme park, 2.7 km from the Royal Botanic Gardens and 4.2 km from the Melbourne Convention Centre.
Modern rooms include 102-cm flat-screen TVs, iPod docks and Wi-Fi (fee), plus bathrooms with dual-head rainfall showers. Some rooms have lake views. Upgraded rooms provide access to a club lounge.
Dining options include a polished restaurant offering modern Australian cuisine and city views, along with a coffee bar and a breezy cocktail bar in an atrium. There's also a pool, a sauna and a fitness centre, as well as conference facilities for up to 1,600 people.","65 Queens Rd, Albert Park VIC 3004",65 Queens Rd,Albert Park VIC 3004,Hotel,,4RJ65X2H+3F,Australia/Melbourne,$195 ,,"Pool,Free Wi-Fi,Air-conditioned,Breakfast",5 stars,(03) 9529 4300,"(03) 9529 4300, +61 3 9529 4300",YES,Pullman Melbourne Albert Park (owner),1.04897E+20,https://www.google.com/maps/contrib/104897184986054387742,"ha1h4@accor.com, h1714-re2@accor.com, customercare@accor.com",,2053,4,https://search.google.com/local/reviews?placeid=ChIJgQd7sRZo1moRoFmjC-P7uQU&q=Hotels&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=412637793452513696,https://www.google.com/search?kgmid=/g/1w8wb4pn,-37.8497703,144.9787043,https://all.accor.com/hotel/8788/index.en.shtml,all.accor.com,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEE9migLcoPaEGSiix5djTLsKhyR0GiQTh94168Pjen3oZJIWIiHJ0-m81n1NWKW9YF5Z6h2LNANNHm7mXypJL_PxO661W0cTzx0QO7okGBGVrX40k8y15kpjgVQSzz9g2IMeGiJTXSYD11BJ3PyDl4mwi7FDw0A08D7Ve6wIFoB4hLcNnh40z8=w122-h92-k-no,4.12638E+17,0x6ad66816b17b0781:0x5b9fbe30ba359a0,ChIJgQd7sRZo1moRoFmjC-P7uQU,/g/1w8wb4pn
"The Ritz-Carlton, Melbourne","Upmarket hotel featuring a chic restaurant, an indoor pool & a spa, plus harbour views.
In a modern tower with views of Victoria Harbour, this upmarket hotel is a 15-minute walk from the Melbourne Convention and Exhibition Centre, 3 km from the National Gallery of Victoria and 22 km from Melbourne Airport.
Polished rooms, some with harbour views, feature floor-to-ceiling windows and TVs, as well as minifridges and Wi-Fi. Suites have separate living rooms and dining areas. Club quarters allow access to a lounge with free cocktails. Room service is available 24/7.
There's a chic restaurant with skyline views, plus a cocktail bar, an indoor infinity pool, a spa and a 24/7 fitness centre. Parking and breakfast are available.","650 Lonsdale St, Melbourne VIC 3000",650 Lonsdale St,Melbourne VIC 3000,Hotel,,4RJ65XP3+35,Australia/Melbourne,$574 ,,"Pool,Spa,Free Wi-Fi,Air-conditioned",5 stars,(03) 9122 2888,"(03) 9122 2888, +61 3 9122 2888",YES,"The Ritz-Carlton, Melbourne (owner)",1.00052E+20,https://www.google.com/maps/contrib/100051571125307229012,,,420,4.5,https://search.google.com/local/reviews?placeid=ChIJfZGGrDxd1moRMQclgXcozFo&q=Hotels&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=6542648852395394865,https://www.google.com/search?kgmid=/g/11tjcdw14y,-37.8147847,144.9529471,https://www.ritzcarlton.com/en/hotels/melrz-the-ritz-carlton-melbourne/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,ritzcarlton.com,,https://lh5.googleusercontent.com/p/AF1QipOctvmWB1M5JGCKNnDAULuPUK1lxJeTkiM691nf=w138-h92-k-no,6.54265E+18,0x6ad65d3cac86917d:0x5acc287781250731,ChIJfZGGrDxd1moRMQclgXcozFo,/g/11tjcdw14y
Melbourne Marriott Hotel Docklands,"Chic rooms in an upmarket riverfront hotel with a rooftop infinity pool, plus a restaurant & bars.
In the Docklands shopping and dining district along the Yarra River, this upscale hotel is a 2-minute walk from a tram stop. It's 3 km from the Queen Victoria Market and 6 km from the Melbourne Skydeck.
Chic rooms have Wi-Fi, minifridges, and tea and coffeemaking facilities. Some offer river views. Club rooms add access to a private lounge with afternoon and evening snacks. Room service is available 24/7.
A rooftop terrace features an infinity pool, a kids' pool, a hot tub, and a bar serving small plates. Other amenities include a modern restaurant, a sleek cocktail bar and a coffee shop, as well as a gym. Breakfast and parking are available.","15 Waterfront Way, Docklands VIC 3008",15 Waterfront Way,Docklands VIC 3008,"Hotel, Meeting planning service",,4RJ65WPQ+GP,Australia/Melbourne,$266 ,,"Pool,Free Wi-Fi,Air-conditioned,Breakfast",5 stars,(03) 8638 6000,"(03) 8638 6000, +61 3 8638 6000",YES,Melbourne Marriott Hotel Docklands (owner),1.02468E+20,https://www.google.com/maps/contrib/102468391193328661921,"marriott-activities@travelcurious.com, customer.care@marriott.com, bonvoy.program@marriott.com",,457,4.2,https://search.google.com/local/reviews?placeid=ChIJ5U45UxBd1moR8vQTvM_Clf4&q=Hotels&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=18344782854633026802,https://www.google.com/search?kgmid=/g/11hytnqp6r,-37.8136885,144.9392881,https://www.marriott.com/en-us/hotels/meldl-melbourne-marriott-hotel-docklands/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,marriott.com,,https://lh5.googleusercontent.com/p/AF1QipMZe-W_dirMq5YivBsVLG7FcdUS82GWCzexlx_l=w138-h92-k-no,1.83448E+19,0x6ad65d1053394ee5:0xfe95c2cfbc13f4f2,ChIJ5U45UxBd1moR8vQTvM_Clf4,/g/11hytnqp6r
Ink Hotel Melbourne Southbank,"Trendy hotel offering contemporary, colourful rooms, plus a lobby cafe/bar with free all-day coffee.
Housed in a contemporary building with a glass facade, this trendy hotel on State Route 20 is a 5-minute walk from a tram stop and 8 minutes' walk from the Australian Centre for Contemporary Art.
Featuring vibrant furnishings, the modern, compact rooms have Wi-Fi access, smart TVs and minifridges. Upgraded rooms add living areas.
A relaxed lobby cafe/bar offers free all-day coffee. Breakfast is available (fee).","167 City Rd, Southbank VIC 3006",167 City Rd,Southbank VIC 3006,Hotel,,4RJ65XG6+7X,Australia/Melbourne,$144 ,,"Free Wi-Fi,Air-conditioned,Breakfast,Wi-Fi",4 stars,(03) 9115 7000,"(03) 9115 7000, +61 3 9115 7000",YES,Ink Hotel Melbourne Southbank (owner),1.01647E+20,https://www.google.com/maps/contrib/101646802801880797643,,,384,4.3,https://search.google.com/local/reviews?placeid=ChIJmbvv3axC1moRD-VAB0kYsKc&q=Hotels&authuser=0&hl=en&gl=AU,https://www.google.com/maps?cid=12083184502168413455,https://www.google.com/search?kgmid=/g/11hyjx370s,-37.8243409,144.9624193,https://inkhotels.com/melbourne-southbank/,inkhotels.com,,https://lh5.googleusercontent.com/p/AF1QipOkUsUA8hVaUAXwYlJGWQgrgb08EoSan7VAUQLM=w138-h92-k-no,1.20832E+19,0x6ad642acddefbb99:0xa7b018490740e50f,ChIJmbvv3axC1moRD-VAB0kYsKc,/g/11hyjx370s
